Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12a,categorical,3.6699886322021484,0.21140939597315436,0.3087248322147651,0.17627064883708954,0.21140939597315436,,,,,accuracy,0.21140939597315436,,21.140939597315437,991,64.207,7.302092825266744,3.2737854132985538,47,test,False,,,4
M1,N7,E10b,T12a,categorical,3.7418220043182373,0.18855218855218855,0.3400673400673401,0.16272389888763428,0.18855218855218855,,,,,accuracy,0.18855218855218855,,18.855218855218855,989,64.546,7.322863100377273,3.2861798848086297,47,test,False,,,5
M1,N7,E10b,T12a,categorical,3.710653305053711,0.23076923076923078,0.35451505016722407,0.16837777197360992,0.23076923076923078,,,,,accuracy,0.23076923076923078,,23.076923076923077,994,65.691,7.317730497123874,3.2644918555047315,47,test,False,,,6
M1,N7,E10b,T12a,categorical,3.733242988586426,0.17391304347826086,0.28762541806020064,0.16480150818824768,0.17391304347826086,,,,,accuracy,0.17391304347826086,,17.391304347826086,994,60.124,7.333537299979956,3.2574911900866543,47,test,False,,,7
M1,N7,E10b,T12a,categorical,3.7184066772460938,0.17114093959731544,0.23154362416107382,0.1672012060880661,0.17114093959731544,,,,,accuracy,0.17114093959731544,,17.114093959731544,993,65.32,7.298746403656999,3.252009771792051,47,test,False,,,8
M1,N7,E10b,T12a,categorical,3.668612241744995,0.19463087248322147,0.33221476510067116,0.1766035109758377,0.19463087248322147,,,,,accuracy,0.19463087248322147,,19.463087248322147,991,66.861,7.298545757592144,3.2153044629509373,47,test,False,,,9
M1,N7,E10b,T12a,categorical,3.7287776470184326,0.15384615384615385,0.2709030100334448,0.1663735955953598,0.15384615384615385,,,,,accuracy,0.15384615384615385,,15.384615384615385,995,67.775,7.317506636946337,3.2769379984210487,47,test,False,,,10
M1,N7,E10b,T12a,categorical,3.656846046447754,0.1919191919191919,0.3501683501683502,0.17990946769714355,0.1919191919191919,,,,,accuracy,0.1919191919191919,,19.19191919191919,987,69.185,7.324500285428739,3.2465157497320907,47,test,False,,,11
M1,N7,E10b,T12a,categorical,3.6943955421447754,0.1705685618729097,0.28762541806020064,0.17126162350177765,0.1705685618729097,,,,,accuracy,0.1705685618729097,,17.05685618729097,994,64.57,7.334445227049822,3.2215906144680275,47,test,False,,,12
M1,N7,E10b,T12a,categorical,3.703827142715454,0.21476510067114093,0.2986577181208054,0.1704564243555069,0.21476510067114093,,,,,accuracy,0.21476510067114093,,21.476510067114095,993,69.408,7.32132158050314,3.216517276663676,47,test,False,,,13
M1,N7,E10b,T12a,categorical,3.646162509918213,0.15932203389830507,0.31186440677966104,0.18095871806144714,0.15932203389830507,,,,,accuracy,0.15932203389830507,,15.932203389830507,982,70.705,7.327247184250992,3.2003396288204673,47,test,False,,,14
M1,N7,E10b,T12a,categorical,3.7111942768096924,0.11371237458193979,0.2140468227424749,0.1685451716184616,0.11371237458193979,,,,,accuracy,0.11371237458193979,,11.37123745819398,994,66.402,7.321069320564622,3.259583698783651,47,test,False,,,15
M1,N7,E10b,T12a,categorical,3.7000885009765625,0.13087248322147652,0.29194630872483224,0.17023499310016632,0.13087248322147652,,,,,accuracy,0.13087248322147652,,13.087248322147651,991,67.263,7.288997650391316,3.2668929763554657,47,test,False,,,16
M1,N7,E10b,T12a,categorical,3.7092366218566895,0.12794612794612795,0.2962962962962963,0.16871385276317596,0.12794612794612795,,,,,accuracy,0.12794612794612795,,12.794612794612794,987,62.442,7.3496820159982095,3.2677510181406584,47,test,False,,,17
M1,N7,E10b,T12a,categorical,3.696424722671509,0.1717171717171717,0.2558922558922559,0.1717326045036316,0.1717171717171717,,,,,accuracy,0.1717171717171717,,17.17171717171717,989,68.508,7.30801922284512,3.242945814542308,47,test,False,,,18
M1,N7,E10b,T12a,categorical,3.7272772789001465,0.19528619528619529,0.2760942760942761,0.16495239734649658,0.19528619528619529,,,,,accuracy,0.19528619528619529,,19.52861952861953,988,66.731,7.322616922144395,3.2844556324097116,47,test,False,,,19
M1,N7,E10b,T12b,categorical,3.745758295059204,0.16326530612244897,0.2687074829931973,0.1625487506389618,0.16326530612244897,,,,,accuracy,0.16326530612244897,,16.3265306122449,980,15.936,7.493965271091904,3.2739408258425513,47,train,False,,,0
M1,N7,E10b,T12b,categorical,3.7047483921051025,0.19865319865319866,0.32996632996632996,0.1698293387889862,0.19865319865319866,,,,,accuracy,0.19865319865319866,,19.865319865319865,988,16.595,7.549472420585582,3.2389935699073416,47,train,False,,,1
M1,N7,E10b,T12b,categorical,3.7289109230041504,0.1919191919191919,0.3939393939393939,0.16560009121894836,0.1919191919191919,,,,,accuracy,0.1919191919191919,,19.19191919191919,990,15.997,7.518117797981741,3.1935219765300435,47,train,False,,,2
M1,N7,E10b,T12b,categorical,3.7184619903564453,0.18456375838926176,0.2785234899328859,0.16787269711494446,0.18456375838926176,,,,,accuracy,0.18456375838926176,,18.456375838926174,993,15.976,7.532051806037881,3.2544080451755177,47,train,False,,,3
M1,N7,E10b,T12b,categorical,3.7053229808807373,0.17785234899328858,0.2751677852348993,0.17004327476024628,0.17785234899328858,,,,,accuracy,0.17785234899328858,,17.78523489932886,991,15.526,7.530021364612626,3.2935284891155434,47,train,False,,,4
M1,N7,E10b,T12b,categorical,3.681323528289795,0.14429530201342283,0.3053691275167785,0.1729055792093277,0.14429530201342283,,,,,accuracy,0.14429530201342283,,14.429530201342283,992,16.107,7.524790897639155,3.251455148566704,47,train,False,,,5
M1,N7,E10b,T12b,categorical,3.702033281326294,0.20469798657718122,0.3422818791946309,0.17053565382957458,0.20469798657718122,,,,,accuracy,0.20469798657718122,,20.469798657718123,991,15.908,7.504946637832015,3.207844303730446,47,train,False,,,6
M1,N7,E10b,T12b,categorical,3.6918692588806152,0.18394648829431437,0.29431438127090304,0.17358115315437317,0.18394648829431437,,,,,accuracy,0.18394648829431437,,18.394648829431436,994,15.893,7.5261571137870575,3.2462722698526933,47,train,False,,,7
M1,N7,E10b,T12b,categorical,3.7344977855682373,0.18305084745762712,0.29152542372881357,0.1646510362625122,0.18305084745762712,,,,,accuracy,0.18305084745762712,,18.305084745762713,983,16.156,7.506967720286163,3.243668031903528,47,train,False,,,8
M1,N7,E10b,T12b,categorical,3.720505475997925,0.16161616161616163,0.29292929292929293,0.1669689118862152,0.16161616161616163,,,,,accuracy,0.16161616161616163,,16.161616161616163,988,15.641,7.5027469393445525,3.245103941995742,47,train,False,,,9
