task_type,Task_Idx,Node_Idx,Edge_Idx,Text_Idx,train_mean,train_std,n_train_valid,test_mean,test_std,n_test_valid
global_categorical,M5,N8,E11b,T12e,0.06945898058284995,0.21964858259521564,10,0.5069855563033908,1.6032290987262507,10
global_categorical,M5,N8,E11c,T12a,0.43001842175748217,1.35983764858455,10,1.7835921129045182,4.880355816423401,10
global_categorical,M5,N8,E11c,T12b,0.0,0.0,10,0.0,0.0,10
global_categorical,M5,N8,E11c,T12e,1.071438012331725,2.3114948315892296,10,0.0,0.0,10
global_categorical,M5,N9,E10b,T12a,1.7828568316265354,4.326079136113256,10,0.7009605816291301,2.216631987944432,10
global_categorical,M5,N9,E10b,T12b,1.2360547734808829,2.155735576029723,10,0.16068862220498584,0.5081420402420633,10
global_categorical,M5,N9,E10b,T12e,0.7254286817119578,2.2940069142231225,10,1.03980551539116,1.8267784999962133,10
global_categorical,M5,N9,E10c,T12a,0.5462028604282314,1.7272451034522633,10,0.8697951177951065,2.7505336699269893,10
global_categorical,M5,N9,E10c,T12b,0.38705525119406836,0.962806269125775,10,0.9479533095056837,2.015975410725902,10
global_categorical,M5,N9,E10c,T12e,0.5931242569090325,1.3616988671301238,10,0.9479676383791642,1.7990413227155158,10
global_categorical,M5,N9,E11a,T12a,0.6259238215392856,1.424144285914516,10,2.2719192721532635,4.14942910737308,10
global_categorical,M5,N9,E11a,T12b,3.614914129782919,5.021167995185146,10,2.0467000375528595,3.5949675131996885,10
global_categorical,M5,N9,E11a,T12e,2.7560063598313063,4.065956473740134,10,4.001918918186783,6.645920241015483,10
global_categorical,M5,N9,E11b,T12a,1.03487874135134,1.814908572939159,10,1.3179164592804793,3.098532835703247,10
global_categorical,M5,N9,E11b,T12b,3.2820810497505555,4.58021176912068,10,1.1579888821598903,1.8764436773816826,10
global_categorical,M5,N9,E11b,T12e,1.5273742546735984,3.35465037078675,10,2.2432388433022283,2.7752933795684522,10
scalar,M2,N7,E10a,T12a,0.03127515316009521,0.09890071815651356,10,0.00421524047851562,0.013329760797447415,10
scalar,M2,N7,E10a,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10a,T12e,0.037951469421386705,0.08386942909204592,10,0.02063453197479247,0.05980788709687009,10
scalar,M2,N7,E10b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10b,T12e,0.06937265396118163,0.1472660807690075,10,0.09296119213104248,0.19889097425366722,10
scalar,M2,N7,E10c,T12a,0.28149802182366745,0.7451729012187971,10,0.0,0.0,10
scalar,M2,N7,E10c,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E10c,T12e,0.03320634365081787,0.10500767870285546,10,0.06101489067077635,0.11113569137982322,10
scalar,M2,N7,E11a,T12a,0.43251335620880127,1.3677273240635408,10,0.00241219997406005,0.00762804608982884,10
scalar,M2,N7,E11a,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11a,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11b,T12a,0.5313020944595337,1.6801247441100535,10,0.0,0.0,10
scalar,M2,N7,E11b,T12b,0.07709503173828125,0.24379589657593898,10,0.0,0.0,10
scalar,M2,N7,E11b,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11c,T12a,0.14087975025177002,0.3142315742729134,10,0.0886768102645874,0.19443855088005763,10
scalar,M2,N7,E11c,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N7,E11c,T12e,0.0205320119857788,0.04459248750619729,10,0.03305137157440184,0.07016390472821232,10
scalar,M2,N8,E10a,T12a,0.04462979207291263,0.08318433250292986,10,0.2457913904501398,0.571615733313116,10
scalar,M2,N8,E10a,T12b,0.06299625999094466,0.12262450639981548,10,0.011008381843566891,0.034811559978514775,10
scalar,M2,N8,E10a,T12e,0.044596530949175726,0.07993819397474677,10,0.00135958194732666,0.004299375619199319,10
scalar,M2,N8,E10b,T12a,0.007598996162414549,0.024030135804108774,10,0.1871444755217654,0.42767214797769854,10
scalar,M2,N8,E10b,T12b,0.08154830063502554,0.1228974810906181,10,0.01275522598217925,0.04033556617384471,10
scalar,M2,N8,E10b,T12e,0.014414635312675431,0.023997341772196392,10,0.03381422161604629,0.1069299576124059,10
scalar,M2,N8,E10c,T12a,0.03150999546051025,0.054665163643729586,10,0.05184963304152531,0.11333266187043951,10
scalar,M2,N8,E10c,T12b,0.05768729079257168,0.1066282395472265,10,0.03467823291776549,0.10966220124996552,10
scalar,M2,N8,E10c,T12e,0.029113350686348294,0.06300918240265634,10,0.12634857928502535,0.34470264889104646,10
scalar,M2,N8,E11a,T12a,0.26076018810272217,0.7807700068626364,10,0.20080659825419964,0.4039368134131046,10
scalar,M2,N8,E11a,T12b,0.4502683895025445,1.2630134181932078,10,0.060868580775005045,0.19248335319095294,10
scalar,M2,N8,E11a,T12e,0.051953792572021484,0.13354389124293925,10,0.008279681205749501,0.017668122989326664,10
scalar,M2,N8,E11b,T12a,0.12665858504647667,0.34734117710522944,10,0.3621266409140407,0.8851664814368325,10
scalar,M2,N8,E11b,T12b,0.013434269581511898,0.035183655767357096,10,0.0406802024107895,0.12864209529476747,10
scalar,M2,N8,E11b,T12e,0.02378773096238265,0.06298660618984545,10,0.018741762002623792,0.05042859494651533,10
scalar,M2,N8,E11c,T12a,0.03565907478332518,0.07103817319722427,10,0.1768993413644295,0.4085296411152937,10
scalar,M2,N8,E11c,T12b,0.00198868068001787,0.006288760487628972,10,0.00619661547020773,0.019595418670091683,10
scalar,M2,N8,E11c,T12e,0.06852510838482093,0.13354468880337747,10,0.11469582626692795,0.23646551089521992,10
scalar,M2,N9,E10b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10b,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10c,T12a,0.0,0.0,10,0.072784423828125,0.23016455747990675,10
scalar,M2,N9,E10c,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E10c,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11a,T12a,0.0,0.0,10,0.03349602222442627,0.10592372278480673,10
scalar,M2,N9,E11a,T12b,0.02007126808166504,0.0634709226659,10,0.0,0.0,10
scalar,M2,N9,E11a,T12e,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11b,T12a,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11b,T12b,0.0,0.0,10,0.0,0.0,10
scalar,M2,N9,E11b,T12e,0.0,0.0,10,0.0,0.0,10
