Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,Predicted_Value,True_Value,sample_idx
M6,N9,E10b,T12b,global_scalar,,,,,,,0.029696498066186905,0.0008818819973950426,,r2,,,,11,9.821,6.786639423021299,,1,test,False,-0.029696498066186905,0.0,17
M6,N9,E10b,T12b,global_scalar,,,,,,,0.029455281794071198,0.0008676136255681421,,r2,,,,10,10.028,6.847885956789803,,1,test,False,-0.029455281794071198,0.0,18
M6,N9,E10b,T12b,global_scalar,,,,,,,0.028145398944616318,0.0007921634817516093,,r2,,,,11,9.938,6.878920709052055,,1,test,False,-0.028145398944616318,0.0,19
M6,N9,E10b,T12e,global_scalar,,,,,,,0.00836374145001173,6.995217104264432e-05,,r2,,,,10,0.0,0.0,,1,train,True,-0.00836374145001173,0.0,0
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,1
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,2
M6,N9,E10b,T12e,global_scalar,,,,,,,0.00848107784986496,7.192868149547005e-05,,r2,,,,10,0.0,0.0,,1,train,True,-0.00848107784986496,0.0,3
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008645391091704369,7.474278712852125e-05,,r2,,,,9,0.0,0.0,,1,train,True,-0.008645391091704369,0.0,4
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,5
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,6
M6,N9,E10b,T12e,global_scalar,,,,,,,0.00848107784986496,7.192868149547005e-05,,r2,,,,10,0.0,0.0,,1,train,True,-0.00848107784986496,0.0,7
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,8
M6,N9,E10b,T12e,global_scalar,,,,,,,0.007331090979278088,5.374489494645255e-05,,r2,,,,12,0.0,0.0,,1,train,True,-0.007331090979278088,0.0,9
M6,N9,E10b,T12e,global_scalar,,,,,,,0.00836374145001173,6.995217104264432e-05,,r2,,,,10,0.0,0.0,,1,train,True,-0.00836374145001173,0.0,10
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,11
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,12
M6,N9,E10b,T12e,global_scalar,,,,,,,0.007331090979278088,5.374489494645255e-05,,r2,,,,12,0.0,0.0,,1,train,True,-0.007331090979278088,0.0,13
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,14
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,15
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,16
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,17
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,18
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008130933158099651,6.611207402148437e-05,,r2,,,,11,0.0,0.0,,1,train,True,-0.008130933158099651,0.0,19
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,0
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,1
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,2
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,3
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,4
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,5
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,6
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,7
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,8
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008717751130461693,7.599918477266612e-05,,r2,,,,10,0.0,0.0,,1,test,True,-0.008717751130461693,0.0,9
M6,N9,E10b,T12e,global_scalar,,,,,,,0.007432128768414259,5.523653803029085e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.007432128768414259,0.0,10
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,11
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,12
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,13
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,14
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,15
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,16
M6,N9,E10b,T12e,global_scalar,,,,,,,0.00779359508305788,6.074012431866397e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.00779359508305788,0.0,17
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008717751130461693,7.599918477266612e-05,,r2,,,,10,0.0,0.0,,1,test,True,-0.008717751130461693,0.0,18
M6,N9,E10b,T12e,global_scalar,,,,,,,0.008315845392644405,6.915328459436518e-05,,r2,,,,11,0.0,0.0,,1,test,True,-0.008315845392644405,0.0,19
M6,N9,E10c,T12a,global_scalar,,,,,,,0.009592169953975827,9.20097244259566e-05,,r2,,,,10,216.379,7.646386072090627,,1,train,False,0.010036330670118332,0.0004441607161425054,0
M6,N9,E10c,T12a,global_scalar,,,,,,,0.009616803494282067,9.248290944763577e-05,,r2,,,,11,206.996,7.620898819468372,,1,train,False,0.010078882798552513,0.0004620793042704463,1
M6,N9,E10c,T12a,global_scalar,,,,,,,0.009618905402021483,9.252334113303806e-05,,r2,,,,11,218.288,7.631200822139384,,1,train,False,0.010078882798552513,0.00045997739653103054,2
M6,N9,E10c,T12a,global_scalar,,,,,,,0.010159819503314793,0.00010322193233993565,,r2,,,,10,221.007,7.621309470123625,,1,train,False,0.01063231285661459,0.0004724933532997966,3
