variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,raw_gnn_train_mean,edge_idx
N8_E11c_T12a,0.609109719708192,3641,428,0.2351002471848393,0.8508651469376545,0.0019225487503433,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433,0.9292141571685664,0.0002746498214776,0.0002972554781797,0.3855409281660505,0.0420214226860752,0.0,0.8492063492063492,N8,,13.66722811352139,E11c
N8_E11c_T12b,0.6103540004323194,3641,428,0.2351002471848393,0.8508651469376545,0.0019225487503433,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433,0.9292141571685664,0.0002746498214776,0.0002972554781797,0.3855409281660505,0.0420214226860752,0.0,0.8492063492063492,N8,,13.480280582466463,E11c
N8_E11c_T12e,0.5696211341445814,3641,428,0.2351002471848393,0.8508651469376545,0.0019225487503433,1.0,3334,0.9867892392348676,1.0920815836832634,0.0019225487503433,0.9292141571685664,0.0002746498214776,0.0002972554781797,0.3855409281660505,0.0420214226860752,0.0,0.8492063492063492,N8,,13.645459637854518,E11c
N9_E10b_T12a,0.6089527764642815,5747,12222,4.253349573690621,0.3748042456934052,0.1061423351313728,13.0,2975,0.9583766130062988,1.931764705882353,0.0132242909344005,0.7240336134453782,0.0001740038280842,0.0001150556009285,0.3430516829372971,0.4204236070418589,,0.550524883411327,N9,,52.5647216033076,E10b
N9_E10b_T12b,0.6095944625930618,5747,12222,4.253349573690621,0.3748042456934052,0.1061423351313728,13.0,2975,0.9583766130062988,1.931764705882353,0.0132242909344005,0.7240336134453782,0.0001740038280842,0.0001150556009285,0.3430516829372971,0.4204236070418589,,0.550524883411327,N9,,52.19598882346772,E10b
N9_E10b_T12e,0.5961796580254194,5747,12222,4.253349573690621,0.3748042456934052,0.1061423351313728,13.0,2975,0.9583766130062988,1.931764705882353,0.0132242909344005,0.7240336134453782,0.0001740038280842,0.0001150556009285,0.3430516829372971,0.4204236070418589,,0.550524883411327,N9,,52.52106396578715,E10b
N9_E10c_T12a,0.5876473872015756,5747,12222,4.253349573690621,0.3748042456934052,0.1061423351313728,13.0,2974,0.9583851283572676,1.9324142568930731,0.0130502871063163,0.7242770679219905,0.0001740038280842,0.0001150556009285,0.3430516829372971,0.4204236070418589,,0.550524883411327,N9,,53.18988806847658,E10c
N9_E10c_T12b,0.5848543388070022,5747,12222,4.253349573690621,0.3748042456934052,0.1061423351313728,13.0,2974,0.9583851283572676,1.9324142568930731,0.0130502871063163,0.7242770679219905,0.0001740038280842,0.0001150556009285,0.3430516829372971,0.4204236070418589,,0.550524883411327,N9,,52.99465545939008,E10c
N9_E10c_T12e,0.5817360309402477,5747,12222,4.253349573690621,0.3748042456934052,0.1061423351313728,13.0,2974,0.9583851283572676,1.9324142568930731,0.0130502871063163,0.7242770679219905,0.0001740038280842,0.0001150556009285,0.3430516829372971,0.4204236070418589,,0.550524883411327,N9,,52.503235301961006,E10c
N9_E11a_T12a,0.7117822155430638,5747,19176,6.673394814685923,0.3587958935096572,0.0824778145119192,21.0,2472,0.8860253543184021,2.324838187702265,0.0382808421785279,0.8341423948220065,0.0001740038280842,0.0001340227985315,0.4203280018852754,0.3280771650444472,,1.0,N9,,55.58977951471806,E11a
N9_E11a_T12b,0.70173793960717,5747,19176,6.673394814685923,0.3587958935096572,0.0824778145119192,21.0,2472,0.8860253543184021,2.324838187702265,0.0382808421785279,0.8341423948220065,0.0001740038280842,0.0001340227985315,0.4203280018852754,0.3280771650444472,,1.0,N9,,55.65283357126869,E11a
N9_E11a_T12e,0.6962823074592552,5747,19176,6.673394814685923,0.3587958935096572,0.0824778145119192,21.0,2472,0.8860253543184021,2.324838187702265,0.0382808421785279,0.8341423948220065,0.0001740038280842,0.0001340227985315,0.4203280018852754,0.3280771650444472,,1.0,N9,,55.27442835984824,E11a
N9_E11b_T12a,0.3965148488533515,5747,259273,90.22898903775884,0.0,0.3748042456934052,2.0,17,0.7737437631390488,338.05882352941177,0.3748042456934052,0.0,0.0001740038280842,0.0003251278610691,0.4004165424578694,0.8830001312481335,,0.4851326706297466,N9,,55.41947607512656,E11b
N9_E11b_T12b,0.4006663080134921,5747,259273,90.22898903775884,0.0,0.3748042456934052,2.0,17,0.7737437631390488,338.05882352941177,0.3748042456934052,0.0,0.0001740038280842,0.0003251278610691,0.4004165424578694,0.8830001312481335,,0.4851326706297466,N9,,55.91185224408674,E11b
N9_E11b_T12e,0.4024696234070272,5747,259273,90.22898903775884,0.0,0.3748042456934052,2.0,17,0.7737437631390488,338.05882352941177,0.3748042456934052,0.0,0.0001740038280842,0.0003251278610691,0.4004165424578694,0.8830001312481335,,0.4851326706297466,N9,,55.86935323899921,E11b
