variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,raw_gnn_train_mean,edge_idx
N8_E11c_T12b,0.5419742834845659,3625,213,0.1175172413793103,0.9315862068965516,0.0030344827586206,1.0,3487,0.9183363089334128,1.0395755663894466,0.0030344827586206,0.9684542586750788,0.0002758620689655,0.0002775950174709,0.25404054599303,0.016,0.0,0.9523809523809524,N8,,1.3235488803210198,E11c
N8_E11c_T12e,0.5532297772295793,3625,213,0.1175172413793103,0.9315862068965516,0.0030344827586206,1.0,3487,0.9183363089334128,1.0395755663894466,0.0030344827586206,0.9684542586750788,0.0002758620689655,0.0002775950174709,0.25404054599303,0.016,0.0,0.9523809523809524,N8,,1.2075038243103549,E11c
N9_E10b_T12a,0.5753020937348494,6571,71069,21.631106376502814,0.3818292497336782,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121208,0.040328717090245,0.7603030303030303,0.0001521838380763,9.666911128545868e-05,0.324411513551237,0.4658612658843717,,0.5860830514783613,N9,,9.026393566819356,E10b
N9_E10b_T12b,0.5400560764401557,6571,71069,21.631106376502814,0.3818292497336782,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121208,0.040328717090245,0.7603030303030303,0.0001521838380763,9.666911128545868e-05,0.324411513551237,0.4658612658843717,,0.5860830514783613,N9,,9.169027289613046,E10b
N9_E10b_T12e,0.5447285446779477,6571,71069,21.631106376502814,0.3818292497336782,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121208,0.040328717090245,0.7603030303030303,0.0001521838380763,9.666911128545868e-05,0.324411513551237,0.4658612658843717,,0.5860830514783613,N9,,9.038597939152725,E10b
N9_E10c_T12a,0.5568326231781286,6571,71069,21.631106376502814,0.3818292497336782,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121208,0.040328717090245,0.7603030303030303,0.0001521838380763,9.666911128545868e-05,0.324411513551237,0.4658612658843717,,0.5860967755453208,N9,,9.331545136636064,E10c
N9_E10c_T12b,0.550851261546283,6571,71069,21.631106376502814,0.3818292497336782,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121208,0.040328717090245,0.7603030303030303,0.0001521838380763,9.666911128545868e-05,0.324411513551237,0.4658612658843717,,0.5860967755453208,N9,,8.695612754605397,E10c
N9_E10c_T12e,0.5693512406979575,6571,71069,21.631106376502814,0.3818292497336782,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121208,0.040328717090245,0.7603030303030303,0.0001521838380763,9.666911128545868e-05,0.324411513551237,0.4658612658843717,,0.5860967755453208,N9,,9.374199161974927,E10c
N9_E11a_T12a,0.8112320067145932,6571,6333,1.9275604930756356,0.5364480292192969,0.2045350783746766,28.0,4042,0.9342523176005998,1.6256803562592776,0.0229797595495358,0.872093023255814,0.0001521838380763,0.0001434688052038,0.4757820821301286,0.1793784539381679,,1.0,N9,,11.189081858573296,E11a
N9_E11a_T12b,0.812062474720952,6571,6333,1.9275604930756356,0.5364480292192969,0.2045350783746766,28.0,4042,0.9342523176005998,1.6256803562592776,0.0229797595495358,0.872093023255814,0.0001521838380763,0.0001434688052038,0.4757820821301286,0.1793784539381679,,1.0,N9,,11.156850622992046,E11a
N9_E11a_T12e,0.8098889769184613,6571,6333,1.9275604930756356,0.5364480292192969,0.2045350783746766,28.0,4042,0.9342523176005998,1.6256803562592776,0.0229797595495358,0.872093023255814,0.0001521838380763,0.0001434688052038,0.4757820821301286,0.1793784539381679,,1.0,N9,,10.99420113198613,E11a
N9_E11b_T12a,0.4610449838207458,6571,288621,87.84690305889515,0.0,0.3818292497336782,2.0,22,0.7930518114986082,298.6818181818182,0.2946279105159032,0.0,0.0001521838380763,0.0002797927473103,0.3786545925287992,0.8404417179980896,,0.489776206250604,N9,,10.97227510157205,E11b
N9_E11b_T12b,0.47738731533898654,6571,288621,87.84690305889515,0.0,0.3818292497336782,2.0,22,0.7930518114986082,298.6818181818182,0.2946279105159032,0.0,0.0001521838380763,0.0002797927473103,0.3786545925287992,0.8404417179980896,,0.489776206250604,N9,,11.08218489095088,E11b
N9_E11b_T12e,0.45453914069256846,6571,288621,87.84690305889515,0.0,0.3818292497336782,2.0,22,0.7930518114986082,298.6818181818182,0.2946279105159032,0.0,0.0001521838380763,0.0002797927473103,0.3786545925287992,0.8404417179980896,,0.489776206250604,N9,,10.951700713396106,E11b
