Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type_500,train_mean_500,test_mean_500,n_train_valid_500,n_test_valid_500,task_type_1000,train_mean_1000,test_mean_1000,n_train_valid_1000,n_test_valid_1000,diff,abs_diff
M1,N8,E11b,T12b,categorical,3.5427192454015355,0.8628692285507172,50,50,categorical,11.63603053473339,5.269995896830934,50,50,8.093311289331854,8.093311289331854
M1,N8,E11b,T12e,categorical,3.2941916474343254,0.9778946893613791,50,50,categorical,10.779902455390145,5.309649393925674,50,50,7.48571080795582,7.48571080795582
M1,N8,E11c,T12a,categorical,4.053449908721929,1.510158751642712,50,50,categorical,13.66722811352139,7.457375452839614,50,50,9.613778204799459,9.613778204799459
M1,N8,E11c,T12b,categorical,4.285093302675844,1.5560618437212712,50,50,categorical,13.480280582466463,7.6558339157628605,50,50,9.19518727979062,9.19518727979062
M1,N8,E11c,T12e,categorical,4.827203098874357,1.7269073169074893,50,50,categorical,13.645459637854518,8.164662110791193,50,50,8.818256538980162,8.818256538980162
M1,N9,E10b,T12a,categorical,42.043200991384076,41.41814154320939,50,50,categorical,52.5647216033076,53.670534954308145,50,50,10.521520611923528,10.521520611923528
M1,N9,E10b,T12b,categorical,42.79624553365737,41.61336261040982,50,50,categorical,52.19598882346772,53.4311075171517,50,50,9.399743289810353,9.399743289810353
M1,N9,E10b,T12e,categorical,41.603796779232155,41.67000090278627,50,50,categorical,52.52106396578715,53.652040194312875,50,50,10.917267186554994,10.917267186554994
M1,N9,E10c,T12a,categorical,41.87574863795389,42.352760150978575,50,50,categorical,53.18988806847658,53.92101210023369,50,50,11.314139430522687,11.314139430522687
M1,N9,E10c,T12b,categorical,41.56662677464481,41.52036520582657,50,50,categorical,52.99465545939008,53.91215483230687,50,50,11.428028684745271,11.428028684745271
M1,N9,E10c,T12e,categorical,42.591007391908484,42.06945425852212,50,50,categorical,52.503235301961006,54.1298715315291,50,50,9.912227910052522,9.912227910052522
M1,N9,E11a,T12a,categorical,43.42388112315757,44.6352315273364,50,50,categorical,55.58977951471806,57.31825291489935,50,50,12.16589839156049,12.16589839156049
M1,N9,E11a,T12b,categorical,43.09962197534598,44.10527887530055,50,50,categorical,55.65283357126869,57.6180651227076,50,50,12.553211595922704,12.553211595922704
M1,N9,E11a,T12e,categorical,42.91874367451686,44.695580424386215,50,50,categorical,55.27442835984824,57.31241120137185,50,50,12.355684685331376,12.355684685331376
M1,N9,E11b,T12a,categorical,45.64384860042366,46.59165754223663,50,50,categorical,55.41947607512656,57.47506013713636,50,50,9.775627474702901,9.775627474702901
M1,N9,E11b,T12b,categorical,46.40833214420407,46.628277421606334,50,50,categorical,55.91185224408674,57.706148992576345,50,50,9.503520099882671,9.503520099882671
M1,N9,E11b,T12e,categorical,45.33806070600393,46.905807918925184,50,50,categorical,55.86935323899921,57.55111383909895,50,50,10.53129253299528,10.53129253299528
M3,N8,E10b,T12a,edge_categorical,0.025225662522568602,1.986909714291605,43,43,edge_categorical,2.729633874551438,2.402186611805764,50,50,2.7044082120288695,2.7044082120288695
M3,N8,E10b,T12b,edge_categorical,0.0,0.2768469613887265,43,43,edge_categorical,1.4519822152151467,2.3634154442531115,50,50,1.4519822152151467,1.4519822152151467
M3,N8,E10b,T12e,edge_categorical,0.09086401443934232,0.9062192085319861,43,43,edge_categorical,1.6168449894407921,0.8063698156435847,50,50,1.52598097500145,1.52598097500145
M4,N7,E10b,T12a,edge_scalar,5.954685598611832,11.253119587898253,50,50,edge_scalar,12.8711621761322,25.043139815330505,50,50,6.916476577520369,6.916476577520369
M4,N7,E10b,T12b,edge_scalar,6.6912075877189645,10.622298121452332,50,50,edge_scalar,12.030499577522276,24.79803431034088,50,50,5.3392919898033115,5.3392919898033115
M4,N8,E10b,T12a,edge_scalar,1.7346237193454392,3.3665498313696487,44,46,edge_scalar,5.372575521469116,12.011274218559263,50,50,3.637951802123677,3.637951802123677
M4,N8,E10b,T12b,edge_scalar,1.1616350574926892,1.8303333417229026,44,46,edge_scalar,4.724487900733946,12.638071179389954,50,50,3.5628528432412567,3.5628528432412567
M4,N8,E10b,T12e,edge_scalar,0.8787717331539493,4.335872440234474,44,46,edge_scalar,5.59555983543396,11.297167778015137,50,50,4.71678810228001,4.71678810228001
M5,N7,E10b,T12a,global_categorical,1.9894484085846313,1.062774092584053,50,50,global_categorical,1.8490249572181285,1.7888949588361296,50,50,-0.1404234513665028,0.1404234513665028
M5,N7,E10b,T12b,global_categorical,3.035108450351603,1.3776506150001573,50,50,global_categorical,2.3552745318995667,3.497031364631754,50,50,-0.6798339184520361,0.6798339184520361
M5,N7,E10b,T12e,global_categorical,3.4273902942330103,3.5252363419902926,50,50,global_categorical,4.948983700331305,3.0370501461115933,50,50,1.5215934060982947,1.5215934060982947
M5,N7,E10c,T12a,global_categorical,1.7643909749017563,1.366557498498476,50,50,global_categorical,1.747025026346805,2.4673648513117534,50,50,-0.017365948554951327,0.017365948554951327
M5,N7,E10c,T12b,global_categorical,2.389511980938509,1.4688014561756475,50,50,global_categorical,2.405011239576584,2.737637612382086,50,50,0.015499258638075109,0.015499258638075109
M5,N7,E10c,T12e,global_categorical,1.6508869991905915,3.4579155867552025,50,50,global_categorical,4.672315035192408,3.2441040482728454,50,50,3.021428036001817,3.021428036001817
M5,N7,E11a,T12a,global_categorical,2.047912748699102,3.2034879263309537,50,50,global_categorical,4.4458719937998215,4.835427753371887,50,50,2.3979592451007194,2.3979592451007194
M5,N7,E11a,T12b,global_categorical,4.952659432795034,2.961922723352587,50,50,global_categorical,5.9872024612033234,8.693325200314728,50,50,1.0345430284082893,1.0345430284082893
M5,N7,E11a,T12e,global_categorical,3.720331572510469,4.737895230360228,50,50,global_categorical,5.811789984328807,3.6181721522690813,50,50,2.091458411818338,2.091458411818338
M5,N7,E11b,T12a,global_categorical,4.130050039602212,2.6492645415062466,50,50,global_categorical,3.126456973648838,1.5041292720217219,50,50,-1.0035930659533738,1.0035930659533738
M5,N7,E11b,T12b,global_categorical,3.626755346686349,3.7337562572215885,50,50,global_categorical,4.360408643349147,4.983719840322331,50,50,0.7336532966627978,0.7336532966627978
M5,N7,E11b,T12e,global_categorical,3.890115056220926,5.0127974691366255,50,50,global_categorical,4.6877685228196375,4.5718462800309,50,50,0.7976534665987116,0.7976534665987116
M5,N8,E10a,T12a,global_categorical,1.3292176945911107,3.3268617662004307,50,50,global_categorical,1.1892942977709486,2.669024755841274,50,50,-0.13992339682016208,0.13992339682016208
M5,N8,E10a,T12b,global_categorical,1.4512227292049107,1.8711248618099905,50,50,global_categorical,2.857306352759278,2.34604130106967,50,50,1.4060836235543674,1.4060836235543674
M5,N8,E10a,T12e,global_categorical,2.162462479305451,2.260197602415389,50,50,global_categorical,0.7537830983516438,3.343877745166115,50,50,-1.4086793809538072,1.4086793809538072
M5,N8,E10b,T12a,global_categorical,2.374722126426656,2.3907237517675077,50,50,global_categorical,2.695459897606239,2.5672897055600967,50,50,0.32073777117958313,0.32073777117958313
M5,N8,E10b,T12b,global_categorical,1.658025824170033,2.225498032609974,50,50,global_categorical,0.5578851906436926,4.0753510125115255,50,50,-1.1001406335263404,1.1001406335263404
M5,N8,E10b,T12e,global_categorical,2.4355830684852844,3.3514437504213284,50,50,global_categorical,0.3857075911935204,3.0694915410928596,50,50,-2.049875477291764,2.049875477291764
M5,N8,E10c,T12a,global_categorical,1.0070044279633201,2.2993427863941993,50,50,global_categorical,0.6114873368075688,1.1782911774647997,50,50,-0.3955170911557513,0.3955170911557513
M5,N8,E10c,T12b,global_categorical,2.600707861296772,3.4799599868566835,50,50,global_categorical,1.0899563168507096,1.3071771655572662,50,50,-1.5107515444460624,1.5107515444460624
M5,N8,E10c,T12e,global_categorical,1.877395901190903,3.9034598673645693,50,50,global_categorical,1.3688149391415059,1.6094058829363704,50,50,-0.5085809620493971,0.5085809620493971
M5,N8,E11a,T12a,global_categorical,2.4330056587125437,1.5948325318064216,50,50,global_categorical,0.6458928653156928,1.1563549770839323,50,50,-1.787112793396851,1.787112793396851
M5,N8,E11a,T12b,global_categorical,1.1959280056230783,2.0006835284139113,50,50,global_categorical,0.5070444908959468,1.2357823200855418,50,50,-0.6888835147271315,0.6888835147271315
M5,N8,E11a,T12e,global_categorical,1.7126163440475775,2.224376747071323,50,50,global_categorical,0.8981984749017347,1.0703569428210606,50,50,-0.8144178691458428,0.8144178691458428
M5,N8,E11b,T12a,global_categorical,1.862892313157781,1.7456776049348544,50,50,global_categorical,1.5172969878995461,1.9264468025153039,50,50,-0.3455953252582349,0.3455953252582349
M5,N8,E11b,T12e,global_categorical,1.0214119251857792,3.1656524338315317,50,50,global_categorical,1.530202774608623,1.3644821530988187,50,50,0.5087908494228439,0.5087908494228439
M5,N8,E11c,T12a,global_categorical,1.9255622890839792,2.6600335416117757,50,50,global_categorical,0.666317762148495,2.1588343029272377,50,50,-1.2592445269354842,1.2592445269354842
M5,N8,E11c,T12b,global_categorical,0.974613170136477,1.3993940917633898,50,50,global_categorical,1.2347791077829604,2.2777713876152528,50,50,0.26016593764648344,0.26016593764648344
M5,N8,E11c,T12e,global_categorical,1.869797087291896,2.9701945333389412,50,50,global_categorical,0.5434540698611364,2.485106333107087,50,50,-1.3263430174307596,1.3263430174307596
M5,N9,E10b,T12a,global_categorical,1.3653682267167662,7.038549495288213,50,50,global_categorical,3.439148901766023,2.15104849459189,50,50,2.0737806750492567,2.0737806750492567
M5,N9,E10b,T12b,global_categorical,1.7059160120305048,7.850711338187454,50,50,global_categorical,2.2092029318721225,2.6508651074969958,50,50,0.5032869198416177,0.5032869198416177
M5,N9,E10b,T12e,global_categorical,1.5665974467037123,6.421080411095917,50,50,global_categorical,3.78484781410426,2.1683191827165325,50,50,2.2182503674005476,2.2182503674005476
M5,N9,E10c,T12a,global_categorical,0.7687821602178245,6.697654413749825,50,50,global_categorical,3.382991446877681,2.8655113231044265,50,50,2.6142092866598565,2.6142092866598565
M5,N9,E10c,T12b,global_categorical,1.6260476130321,6.798891870523822,50,50,global_categorical,4.614041806372706,1.9709314979183057,50,50,2.987994193340606,2.987994193340606
M5,N9,E10c,T12e,global_categorical,0.870885603578442,7.313107147778172,50,50,global_categorical,3.2761659313782188,1.8421221997602482,50,50,2.405280327799777,2.405280327799777
M5,N9,E11a,T12a,global_categorical,3.152082726713004,11.279985428869749,50,50,global_categorical,5.5876273813971045,4.062860774952732,50,50,2.4355446546841004,2.4355446546841004
M5,N9,E11a,T12b,global_categorical,4.564550407375089,10.596850601224277,50,50,global_categorical,8.153265116863754,5.140860610856004,50,50,3.5887147094886647,3.5887147094886647
M5,N9,E11a,T12e,global_categorical,3.1569603115261615,11.345946050326306,50,50,global_categorical,6.705674089357318,6.246192915765481,50,50,3.5487137778311566,3.5487137778311566
M5,N9,E11b,T12a,global_categorical,3.1491055608774445,10.1476553826707,50,50,global_categorical,5.6796798370112205,2.6319221568187765,50,50,2.530574276133776,2.530574276133776
M5,N9,E11b,T12b,global_categorical,2.9224054195390163,9.49180682320849,50,50,global_categorical,4.199487176124354,2.159079838445096,50,50,1.2770817565853374,1.2770817565853374
M5,N9,E11b,T12e,global_categorical,2.387527871677827,8.623791379880283,50,50,global_categorical,6.058434765722547,3.4178316438338108,50,50,3.6709068940447196,3.6709068940447196
