variant,mean_ragas_composite,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily,node_type_l2,precision_at_1,precision_at_3,precision_at_5,precision_skip_rate,mean_hop_distance,hop_reachability_fraction,hop_skip_rate,neighborhood_coherence_mean,neighborhood_coherence_std,query_alignment_delta,align_skip_rate,raw_gnn_train_mean,edge_idx
N8_E10a_T12e,0.6416858527495597,5519,243,0.0880594310563507,0.9351331763000544,0.0007247689798876,1.0,5321,0.9898897525783672,1.037211050554407,0.0007247689798876,0.969930464198459,0.0001811922449719,0.0001774799515123,0.2412446796236354,0.0181192244971915,,0.9913194444444444,N8,,N8,,,,1.0,,,1.0,0.7054701268506449,0.1575060949261724,,1.0,12.858646545441625,E10a
N8_E10b_T12a,0.6320177078356892,5519,0,0.0,1.0,0.0001811922449719,0.0,5519,,1.0,0.0001811922449719,1.0,0.0001811922449719,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,,N8,,,,1.0,,,1.0,,,,1.0,12.895009856746206,E10b
N8_E10b_T12b,0.6400139976461504,5519,0,0.0,1.0,0.0001811922449719,0.0,5519,,1.0,0.0001811922449719,1.0,0.0001811922449719,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,,N8,,,,1.0,,,1.0,,,,1.0,12.606389150791,E10b
N8_E10b_T12e,0.6299824721500753,5519,0,0.0,1.0,0.0001811922449719,0.0,5519,,1.0,0.0001811922449719,1.0,0.0001811922449719,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,,N8,,,,1.0,,,1.0,,,,1.0,12.8471017286763,E10b
N8_E10c_T12a,0.6074637436125598,5519,0,0.0,1.0,0.0001811922449719,0.0,5519,,1.0,0.0001811922449719,1.0,0.0001811922449719,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,,N8,,,,1.0,,,1.0,,,,1.0,12.70042193257434,E10c
N8_E10c_T12b,0.6324652223524689,5519,0,0.0,1.0,0.0001811922449719,0.0,5519,,1.0,0.0001811922449719,1.0,0.0001811922449719,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,,N8,,,,1.0,,,1.0,,,,1.0,12.957363664580116,E10c
N8_E10c_T12e,0.6198908174903991,5519,0,0.0,1.0,0.0001811922449719,0.0,5519,,1.0,0.0001811922449719,1.0,0.0001811922449719,2.710505431213761e-20,4.943801604128981e-16,0.0,,,N8,,N8,,,,1.0,,,1.0,,,,1.0,12.81262224572133,E10c
N8_E11a_T12a,0.4824567868238926,5519,71236,25.814821525638703,0.5520927704294256,0.3817720601558253,17.0,3219,0.2622800791580966,1.7145076110593351,0.0802681645225584,0.9465672569120844,0.0001811922449719,0.0002935121179,0.5830725750748893,0.2647165725206135,,0.7525682818986467,N8,,N8,,,,1.0,,,1.0,0.7841660112766681,0.0353072913210284,,1.0,12.289800319809194,E11a
N8_E11a_T12b,0.4919361551587917,5519,71236,25.814821525638703,0.5520927704294256,0.3817720601558253,17.0,3219,0.2622800791580966,1.7145076110593351,0.0802681645225584,0.9465672569120844,0.0001811922449719,0.0002935121179,0.5830725750748893,0.2647165725206135,,0.7525682818986467,N8,,N8,,,,1.0,,,1.0,0.7841660112766681,0.0353072913210284,,1.0,12.18958808126797,E11a
N8_E11a_T12e,0.47234795485739395,5519,71236,25.814821525638703,0.5520927704294256,0.3817720601558253,17.0,3219,0.2622800791580966,1.7145076110593351,0.0802681645225584,0.9465672569120844,0.0001811922449719,0.0002935121179,0.5830725750748893,0.2647165725206135,,0.7525682818986467,N8,,N8,,,,1.0,,,1.0,0.7841660112766681,0.0353072913210284,,1.0,12.09810198349904,E11a
N8_E11b_T12a,0.36858398097387207,5519,274675,99.5379597753216,0.0,1.0,2.0,1,0.0,5519.0,1.0,0.0,0.0001811922449719,0.0008684662048521,0.4541422287851466,0.9911005870480128,,0.5120836981858645,N8,,N8,,,,1.0,,,1.0,0.3395062496467512,0.09332012842122,,1.0,12.531866460868557,E11b
N8_E11b_T12b,0.36262108831397083,5519,274675,99.5379597753216,0.0,1.0,2.0,1,0.0,5519.0,1.0,0.0,0.0001811922449719,0.0008684662048521,0.4541422287851466,0.9911005870480128,,0.5120836981858645,N8,,N8,,,,1.0,,,1.0,0.3395062496467512,0.09332012842122,,1.0,12.62803898947014,E11b
N8_E11b_T12e,0.3555261617411792,5519,274675,99.5379597753216,0.0,1.0,2.0,1,0.0,5519.0,1.0,0.0,0.0001811922449719,0.0008684662048521,0.4541422287851466,0.9911005870480128,,0.5120836981858645,N8,,N8,,,,1.0,,,1.0,0.3395062496467512,0.09332012842122,,1.0,12.300183235724267,E11b
N8_E11c_T12a,0.6049224007474147,5519,243,0.0880594310563507,0.9351331763000544,0.0007247689798876,1.0,5321,0.9898897525783672,1.037211050554407,0.0007247689798876,0.969930464198459,0.0001811922449719,0.0001774799515123,0.2412446796236354,0.0181192244971915,,0.9913194444444444,N8,,N8,,,,1.0,,,1.0,0.7054701268506449,0.1575060949261724,,1.0,13.064048602598891,E11c
N8_E11c_T12b,0.5999197613704046,5519,243,0.0880594310563507,0.9351331763000544,0.0007247689798876,1.0,5321,0.9898897525783672,1.037211050554407,0.0007247689798876,0.969930464198459,0.0001811922449719,0.0001774799515123,0.2412446796236354,0.0181192244971915,,0.9913194444444444,N8,,N8,,,,1.0,,,1.0,0.7054701268506449,0.1575060949261724,,1.0,12.45628060347745,E11c
N8_E11c_T12e,0.6031610866116719,5519,243,0.0880594310563507,0.9351331763000544,0.0007247689798876,1.0,5321,0.9898897525783672,1.037211050554407,0.0007247689798876,0.969930464198459,0.0001811922449719,0.0001774799515123,0.2412446796236354,0.0181192244971915,,0.9913194444444444,N8,,N8,,,,1.0,,,1.0,0.7054701268506449,0.1575060949261724,,1.0,12.671950387840248,E11c
N9_E10b_T12a,0.6021896515956281,8238,13918,3.378975479485312,0.47936392328235,0.0157805292546734,5.0,5153,0.957527748954157,1.5986803803609548,0.0078902646273367,0.766349699204347,0.0001213886865744,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6043808378913226,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.0,1.0,0.5,0.2263169584974434,0.1125694464446069,-0.0146036446094512,0.7142857142857143,37.44080227719876,E10b
N9_E10b_T12b,0.5858704208789495,8238,13918,3.378975479485312,0.47936392328235,0.0157805292546734,5.0,5153,0.957527748954157,1.5986803803609548,0.0078902646273367,0.766349699204347,0.0001213886865744,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6043808378913226,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.0,1.0,0.5,0.2263169584974434,0.1125694464446069,-0.0146036446094512,0.7142857142857143,37.73199714439061,E10b
N9_E10b_T12e,0.5877081570391067,8238,13918,3.378975479485312,0.47936392328235,0.0157805292546734,5.0,5153,0.957527748954157,1.5986803803609548,0.0078902646273367,0.766349699204347,0.0001213886865744,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6043808378913226,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.0,1.0,0.5,0.2263169584974434,0.1125694464446069,-0.0146036446094512,0.7142857142857143,37.56120518382895,E10b
N9_E10c_T12a,0.5956277754637501,8238,13918,3.378975479485312,0.47936392328235,0.0157805292546734,5.0,5153,0.957527748954157,1.5986803803609548,0.0078902646273367,0.766349699204347,0.0001213886865744,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6040268109511644,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.0,1.0,0.5,0.2263169584974434,0.1125694464446069,-0.0146036446094512,0.7142857142857143,37.527844614578015,E10c
N9_E10c_T12b,0.594345076938288,8238,13918,3.378975479485312,0.47936392328235,0.0157805292546734,5.0,5153,0.957527748954157,1.5986803803609548,0.0078902646273367,0.766349699204347,0.0001213886865744,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6040268109511644,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.0,1.0,0.5,0.2263169584974434,0.1125694464446069,-0.0146036446094512,0.7142857142857143,37.86364757878168,E10c
N9_E10c_T12e,0.5899939099119719,8238,13918,3.378975479485312,0.47936392328235,0.0157805292546734,5.0,5153,0.957527748954157,1.5986803803609548,0.0078902646273367,0.766349699204347,0.0001213886865744,8.8179257728176e-05,0.3693539087245221,0.3406850572697408,,0.6040268109511644,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.0,1.0,0.5,0.2263169584974434,0.1125694464446069,-0.0146036446094512,0.7142857142857143,37.59329273303808,E10c
N9_E11a_T12a,0.6813677517771822,8238,7545,1.831755280407866,0.5848506919155134,0.0233066278222869,12.0,5493,0.9715844890893208,1.4997269251774987,0.010924981791697,0.8771163298743856,0.0001213886865744,0.000118348549013,0.4813036338361419,0.1604361618005289,,1.0,N9,,N9,0.75,0.75,0.75,0.4285714285714285,,0.0,0.5,0.8017970593223543,0.0431104993247492,-0.0077302306890487,0.7142857142857143,38.94273857573752,E11a
N9_E11a_T12b,0.6785934296800883,8238,7545,1.831755280407866,0.5848506919155134,0.0233066278222869,12.0,5493,0.9715844890893208,1.4997269251774987,0.010924981791697,0.8771163298743856,0.0001213886865744,0.000118348549013,0.4813036338361419,0.1604361618005289,,1.0,N9,,N9,0.75,0.75,0.75,0.4285714285714285,,0.0,0.5,0.8017970593223543,0.0431104993247492,-0.0077302306890487,0.7142857142857143,39.01343692076899,E11a
N9_E11a_T12e,0.672666195363181,8238,7545,1.831755280407866,0.5848506919155134,0.0233066278222869,12.0,5493,0.9715844890893208,1.4997269251774987,0.010924981791697,0.8771163298743856,0.0001213886865744,0.000118348549013,0.4813036338361419,0.1604361618005289,,1.0,N9,,N9,0.75,0.75,0.75,0.4285714285714285,,0.0,0.5,0.8017970593223543,0.0431104993247492,-0.0077302306890487,0.7142857142857143,39.119670208238254,E11a
N9_E11b_T12a,0.3698635035476133,8238,384630,93.3794610342316,0.0,0.47936392328235,2.0,16,0.6914964754832024,514.875,0.47936392328235,0.0,0.0001213886865744,0.0003617997281772,0.42758588174912,0.9132327972643828,,0.4744249253666025,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.3333333333333333,1.0,0.5,0.168367307799528,0.0445655937972886,-0.0269031152129173,0.4285714285714285,40.71352065804885,E11b
N9_E11b_T12b,0.4286576784054925,8238,384630,93.3794610342316,0.0,0.47936392328235,2.0,16,0.6914964754832024,514.875,0.47936392328235,0.0,0.0001213886865744,0.0003617997281772,0.42758588174912,0.9132327972643828,,0.4744249253666025,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.3333333333333333,1.0,0.5,0.168367307799528,0.0445655937972886,-0.0269031152129173,0.4285714285714285,41.00032152217096,E11b
N9_E11b_T12e,0.4040231516565935,8238,384630,93.3794610342316,0.0,0.47936392328235,2.0,16,0.6914964754832024,514.875,0.47936392328235,0.0,0.0001213886865744,0.0003617997281772,0.42758588174912,0.9132327972643828,,0.4744249253666025,N9,,N9,0.75,0.75,0.75,0.4285714285714285,1.3333333333333333,1.0,0.5,0.168367307799528,0.0445655937972886,-0.0269031152129173,0.4285714285714285,40.75325144272881,E11b
