dataset,scale,subtype,metric,n,n_full,mean_rho,std_rho,n_seeds
arxiv,C,aggregate_cross_paper,answer_relevance,20,33,0.8897058823529411,0.07945260387788292,20
arxiv,C,aggregate_cross_paper,answer_relevance,30,33,0.9625,0.03271025944049296,20
arxiv,C,aggregate_cross_paper,answer_relevance,33,33,1.0,0.0,20
arxiv,C,aggregate_cross_paper,context_relevance,3,33,0.5595736149342019,0.28710754806540284,20
arxiv,C,aggregate_cross_paper,context_relevance,5,33,0.6699873643670063,0.1783518990558127,20
arxiv,C,aggregate_cross_paper,context_relevance,10,33,0.7596756971745965,0.12254475969488002,20
arxiv,C,aggregate_cross_paper,context_relevance,15,33,0.8402798607456493,0.10120757766556011,20
arxiv,C,aggregate_cross_paper,context_relevance,20,33,0.8791197031032153,0.0932348420415519,20
arxiv,C,aggregate_cross_paper,context_relevance,30,33,0.9635216450024439,0.05269508567224636,20
arxiv,C,aggregate_cross_paper,context_relevance,33,33,1.0,0.0,20
arxiv,C,aggregate_cross_paper,composite,3,33,0.6308354672658081,0.23253300077480862,20
arxiv,C,aggregate_cross_paper,composite,5,33,0.7015654971991971,0.16884739156981704,20
arxiv,C,aggregate_cross_paper,composite,10,33,0.7995588235294118,0.13799501959319388,20
arxiv,C,aggregate_cross_paper,composite,15,33,0.8920588235294117,0.08446401334398579,20
arxiv,C,aggregate_cross_paper,composite,20,33,0.9297058823529412,0.050694996784317284,20
arxiv,C,aggregate_cross_paper,composite,30,33,0.9801470588235294,0.01186993381277768,20
arxiv,C,aggregate_cross_paper,composite,33,33,1.0,0.0,20
arxiv,C,edge_multihop,faithfulness,3,34,0.5396206246309737,0.2360432261724062,20
arxiv,C,edge_multihop,faithfulness,5,34,0.6093614552296556,0.23930357102161007,20
arxiv,C,edge_multihop,faithfulness,10,34,0.7549124791697674,0.16193855165090576,20
arxiv,C,edge_multihop,faithfulness,15,34,0.8483386466515086,0.10206016752373787,20
arxiv,C,edge_multihop,faithfulness,20,34,0.9143306306785671,0.04267468736551826,20
arxiv,C,edge_multihop,faithfulness,30,34,0.9591176470588236,0.0193067569791486,20
arxiv,C,edge_multihop,faithfulness,34,34,1.0,0.0,20
arxiv,C,edge_multihop,answer_relevance,3,34,0.552896577395992,0.20218208358016998,20
arxiv,C,edge_multihop,answer_relevance,5,34,0.6373213142384142,0.1696633126993902,20
arxiv,C,edge_multihop,answer_relevance,10,34,0.6984988038733908,0.12388423975228628,20
arxiv,C,edge_multihop,answer_relevance,15,34,0.8159056269238381,0.10678075733271657,20
arxiv,C,edge_multihop,answer_relevance,20,34,0.8594786367273148,0.07001467395371339,20
arxiv,C,edge_multihop,answer_relevance,30,34,0.9526760971365806,0.019552749974651513,20
arxiv,C,edge_multihop,answer_relevance,34,34,1.0,0.0,20
arxiv,C,edge_multihop,context_relevance,3,34,0.44826051499712605,0.3801603481637832,20
arxiv,C,edge_multihop,context_relevance,5,34,0.6453853963738684,0.2666736241159622,20
arxiv,C,edge_multihop,context_relevance,10,34,0.7989915796871039,0.1744519785444122,20
arxiv,C,edge_multihop,context_relevance,15,34,0.8921894520857044,0.16703629407308268,20
arxiv,C,edge_multihop,context_relevance,20,34,0.9330947043873353,0.1006340250374165,20
arxiv,C,edge_multihop,context_relevance,30,34,0.9906652999370174,0.015053024455352263,20
arxiv,C,edge_multihop,context_relevance,34,34,1.0,0.0,20
arxiv,C,edge_multihop,composite,3,34,0.6426030668405152,0.2370907139964917,20
arxiv,C,edge_multihop,composite,5,34,0.7234752322107194,0.18960731561153685,20
arxiv,C,edge_multihop,composite,10,34,0.81745531945226,0.12528806172000226,20
arxiv,C,edge_multihop,composite,15,34,0.9191176470588237,0.04257600571889967,20
arxiv,C,edge_multihop,composite,20,34,0.9507352941176469,0.021987630212302118,20
arxiv,C,edge_multihop,composite,30,34,0.9672058823529411,0.014889297380017257,20
arxiv,C,edge_multihop,composite,34,34,1.0,0.0,20
arxiv,C,all_combined,faithfulness,3,102,0.22805266780408165,0.3164208952726323,20
arxiv,C,all_combined,faithfulness,5,102,0.35931777623846023,0.30151553934163483,20
arxiv,C,all_combined,faithfulness,10,102,0.4113760310967628,0.30959494276553834,20
arxiv,C,all_combined,faithfulness,15,102,0.48191176470588226,0.3509074679143524,20
arxiv,C,all_combined,faithfulness,20,102,0.5401009710141296,0.31769372501321963,20
arxiv,C,all_combined,faithfulness,30,102,0.5880882352941176,0.2547583069944903,20
arxiv,C,all_combined,faithfulness,40,102,0.6771443146652845,0.24598485671985504,20
arxiv,C,all_combined,faithfulness,50,102,0.7323529411764704,0.21872151322176966,20
arxiv,C,all_combined,faithfulness,75,102,0.8651470588235295,0.05385867544245054,20
arxiv,C,all_combined,faithfulness,100,102,0.9913235294117646,0.010250959951672604,20
arxiv,C,all_combined,faithfulness,102,102,1.0,0.0,20
arxiv,C,all_combined,answer_relevance,3,102,0.4846118158288453,0.24026315306676255,20
arxiv,C,all_combined,answer_relevance,5,102,0.38189936999810065,0.37259055048258344,20
arxiv,C,all_combined,answer_relevance,10,102,0.49297917253540124,0.3215335668306506,20
arxiv,C,all_combined,answer_relevance,15,102,0.6607352941176471,0.2649480509895919,20
arxiv,C,all_combined,answer_relevance,20,102,0.6738235294117647,0.295799456286012,20
arxiv,C,all_combined,answer_relevance,30,102,0.7341176470588235,0.23244488128881274,20
arxiv,C,all_combined,answer_relevance,40,102,0.7814705882352941,0.2226960082954489,20
arxiv,C,all_combined,answer_relevance,50,102,0.8458823529411766,0.15992645368492134,20
arxiv,C,all_combined,answer_relevance,75,102,0.9439705882352939,0.03837615455923542,20
arxiv,C,all_combined,answer_relevance,100,102,0.9947058823529412,0.006280634265900762,20
arxiv,C,all_combined,answer_relevance,102,102,1.0,0.0,20
arxiv,C,all_combined,context_relevance,3,102,0.4425194643972322,0.24441110627314006,20
arxiv,C,all_combined,context_relevance,5,102,0.5669602742542106,0.21751575739592216,20
arxiv,C,all_combined,context_relevance,10,102,0.6614337111950587,0.23503538736919982,20
arxiv,C,all_combined,context_relevance,15,102,0.6621630647837554,0.23450731752961126,20
arxiv,C,all_combined,context_relevance,20,102,0.6981891759997587,0.17784577054147085,20
arxiv,C,all_combined,context_relevance,30,102,0.7372600536938763,0.11757645222805939,20
arxiv,C,all_combined,context_relevance,40,102,0.7863260806391914,0.11034588001839632,20
arxiv,C,all_combined,context_relevance,50,102,0.8302652248060307,0.10212363157541202,20
arxiv,C,all_combined,context_relevance,75,102,0.8678237636065642,0.08160182613752655,20
arxiv,C,all_combined,context_relevance,100,102,0.9631773824198012,0.07150632357233656,20
arxiv,C,all_combined,context_relevance,102,102,1.0,0.0,20
arxiv,C,all_combined,composite,3,102,0.5157835340170707,0.24656562956489064,20
arxiv,C,all_combined,composite,5,102,0.5775423531733703,0.23105950510752277,20
arxiv,C,all_combined,composite,10,102,0.6302941176470589,0.18778692003342548,20
arxiv,C,all_combined,composite,15,102,0.7202941176470589,0.14682304628502715,20
arxiv,C,all_combined,composite,20,102,0.7958823529411765,0.13724740875904604,20
arxiv,C,all_combined,composite,30,102,0.7944117647058824,0.13538008777545527,20
arxiv,C,all_combined,composite,40,102,0.8132352941176471,0.1078553914606406,20
arxiv,C,all_combined,composite,50,102,0.8566176470588236,0.08903497912983706,20
arxiv,C,all_combined,composite,75,102,0.9326470588235292,0.028665533359213225,20
arxiv,C,all_combined,composite,100,102,0.9907352941176472,0.010696950055246084,20
arxiv,C,all_combined,composite,102,102,1.0,0.0,20
