variant,num_nodes,num_edges,mean_degree,isolated_node_fraction,largest_cc_fraction,diameter,n_communities,modularity,mean_community_size,largest_community_fraction,singleton_fraction,pagerank_mean,pagerank_std,pagerank_gini,clustering_coeff_mean,betweenness_mean,link_pred_auc,node_type,homophily
N8_E10a_T12e,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,N8,
N8_E10b_T12a,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,,,N8,
N8_E10b_T12b,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,,,N8,
N8_E10b_T12e,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,,,N8,
N8_E10c_T12a,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,,,N8,
N8_E10c_T12b,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,,,N8,
N8_E10c_T12e,3625,0,0.0,1.0,0.00027586206896551725,0.0,3625,,1.0,0.00027586206896551725,1.0,0.0002758620689655394,0.0,3.249091417368116e-14,0.0,,,N8,
N8_E11a_T12a,3625,139716,77.08468965517241,0.40993103448275864,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.13406896551724137,0.9044430919050518,0.00027586206896551704,0.0003704233379970322,0.5719079961099758,0.3618346526879512,0.00012071233595903097,0.7401895429052731,N8,
N8_E11a_T12b,3625,139716,77.08468965517241,0.40993103448275864,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.13406896551724137,0.9044430919050518,0.00027586206896551704,0.0003704233379970322,0.5719079961099758,0.3618346526879512,0.00012071233595903097,0.7401895429052731,N8,
N8_E11a_T12e,3625,139716,77.08468965517241,0.40993103448275864,0.5053793103448276,10.0,1643,0.1099247671628966,2.206329884357882,0.13406896551724137,0.9044430919050518,0.00027586206896551704,0.0003704233379970322,0.5719079961099758,0.3618346526879512,0.00012071233595903097,0.7401895429052731,N8,
N8_E11b_T12a,3625,179975,99.29655172413793,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655147,0.001061692240755753,0.44887112461927664,0.9865774180339589,0.00026845163932084193,0.5285458725225913,N8,
N8_E11b_T12b,3625,179975,99.29655172413793,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655147,0.001061692240755753,0.44887112461927664,0.9865774180339589,0.00026845163932084193,0.5285458725225913,N8,
N8_E11b_T12e,3625,179975,99.29655172413793,0.0,1.0,2.0,1,0.0,3625.0,1.0,0.0,0.0002758620689655147,0.001061692240755753,0.44887112461927664,0.9865774180339589,0.00026845163932084193,0.5285458725225913,N8,
N8_E11c_T12a,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,N8,
N8_E11c_T12b,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,N8,
N8_E11c_T12e,3625,213,0.11751724137931034,0.9315862068965517,0.0030344827586206895,1.0,3487,0.9183363089334127,1.0395755663894466,0.0030344827586206895,0.9684542586750788,0.00027586206896552224,0.0002775950174709047,0.25404054599303005,0.016,0.0,0.9523809523809523,N8,
N9_E10b_T12a,6571,71069,21.631106376502814,0.38182924973367827,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121212,0.04032871709024501,0.7603030303030303,0.0001521838380763962,9.666911128545868e-05,0.32441151355123704,0.4658612658843717,,0.5860830514783613,N9,
N9_E10b_T12b,6571,71069,21.631106376502814,0.38182924973367827,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121212,0.04032871709024501,0.7603030303030303,0.0001521838380763962,9.666911128545868e-05,0.32441151355123704,0.4658612658843717,,0.5860830514783613,N9,
N9_E10b_T12e,6571,71069,21.631106376502814,0.38182924973367827,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121212,0.04032871709024501,0.7603030303030303,0.0001521838380763962,9.666911128545868e-05,0.32441151355123704,0.4658612658843717,,0.5860830514783613,N9,
N9_E10c_T12a,6571,71069,21.631106376502814,0.38182924973367827,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121212,0.04032871709024501,0.7603030303030303,0.0001521838380763962,9.666911128545868e-05,0.32441151355123704,0.4658612658843717,,0.5860967755453208,N9,
N9_E10c_T12b,6571,71069,21.631106376502814,0.38182924973367827,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121212,0.04032871709024501,0.7603030303030303,0.0001521838380763962,9.666911128545868e-05,0.32441151355123704,0.4658612658843717,,0.5860967755453208,N9,
N9_E10c_T12e,6571,71069,21.631106376502814,0.38182924973367827,0.1928169228427941,12.0,3300,0.7307179798225345,1.9912121212121212,0.04032871709024501,0.7603030303030303,0.0001521838380763962,9.666911128545868e-05,0.32441151355123704,0.4658612658843717,,0.5860967755453208,N9,
N9_E11a_T12a,6571,6333,1.9275604930756354,0.5364480292192969,0.2045350783746766,28.0,4042,0.9342523176005998,1.6256803562592776,0.02297975954953584,0.872093023255814,0.0001521838380763972,0.00014346880520387613,0.4757820821301286,0.17937845393816795,,1.0,N9,
N9_E11a_T12b,6571,6333,1.9275604930756354,0.5364480292192969,0.2045350783746766,28.0,4042,0.9342523176005998,1.6256803562592776,0.02297975954953584,0.872093023255814,0.0001521838380763972,0.00014346880520387613,0.4757820821301286,0.17937845393816795,,1.0,N9,
N9_E11a_T12e,6571,6333,1.9275604930756354,0.5364480292192969,0.2045350783746766,28.0,4042,0.9342523176005998,1.6256803562592776,0.02297975954953584,0.872093023255814,0.0001521838380763972,0.00014346880520387613,0.4757820821301286,0.17937845393816795,,1.0,N9,
N9_E11b_T12a,6571,288621,87.84690305889515,0.0,0.38182924973367827,2.0,22,0.7930518114986082,298.6818181818182,0.2946279105159032,0.0,0.0001521838380763977,0.00027979274731035765,0.3786545925287992,0.8404417179980896,,0.48977620625060403,N9,
N9_E11b_T12b,6571,288621,87.84690305889515,0.0,0.38182924973367827,2.0,22,0.7930518114986082,298.6818181818182,0.2946279105159032,0.0,0.0001521838380763977,0.00027979274731035765,0.3786545925287992,0.8404417179980896,,0.48977620625060403,N9,
N9_E11b_T12e,6571,288621,87.84690305889515,0.0,0.38182924973367827,2.0,22,0.7930518114986082,298.6818181818182,0.2946279105159032,0.0,0.0001521838380763977,0.00027979274731035765,0.3786545925287992,0.8404417179980896,,0.48977620625060403,N9,
