Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12b,categorical,1.8306618928909304,0.5939597315436241,0.7281879194630873,0.6163489818572998,0.5939597315436241,,,,0.4128681077256927,0.4128681077256927,0.4347448433469889,0.0,0.4128681077256927,-0.038702407866268204,graph_lift,991,15.908,7.504946637832015,3.207844303730446,47,train,False,,,,6
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1521187424659729,0.0,0.1076567103923258,0.0,0.0,-0.12064494869419361,graph_lift,991,15.908,7.504946637832015,,47,train,False,,,,6
M1,N7,E10b,T12b,categorical,2.039825201034546,0.5618729096989966,0.705685618729097,0.5714338421821594,0.5618729096989966,,,,0.3658389941131782,0.3658389941131782,0.3783061531919068,0.0,0.3658389941131782,-0.020053534617943538,graph_lift,994,15.893,7.5261571137870575,3.2462722698526933,47,train,False,,,,7
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1550962775945663,0.3180325189998621,0.3173498527343604,0.0010000236112686,0.3180325189998621,0.0010000236112687518,graph_lift,994,15.893,7.5261571137870575,,47,train,False,,,,7
M1,N7,E10b,T12b,categorical,1.824445128440857,0.5491525423728814,0.7186440677966102,0.595066487789154,0.5491525423728814,,,,0.4175096145335019,0.4175096145335019,0.4739168704511796,0.0,0.4175096145335019,-0.10722118378145619,graph_lift,983,16.156,7.506967720286163,3.243668031903528,47,train,False,,,,8
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1674469411373138,0.0,0.1028490882701193,0.0,0.0,-0.11463967424589284,graph_lift,983,16.156,7.506967720286163,,47,train,False,,,,8
M1,N7,E10b,T12b,categorical,2.036706924438477,0.5521885521885522,0.7138047138047138,0.5830474495887756,0.5521885521885522,,,,0.3626189777942417,0.3626189777942417,0.4037159016072935,0.0,0.3626189777942417,-0.06892171688600993,graph_lift,988,15.641,7.502746939344552,3.245103941995742,47,train,False,,,,9
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1595834046602249,0.0,0.0010133758000906,0.0,0.0,-0.0010144037723249948,graph_lift,988,15.641,7.502746939344552,,47,train,False,,,,9
M1,N7,E10b,T12b,categorical,2.0087971687316895,0.5335570469798657,0.674496644295302,0.5707290768623352,0.5335570469798657,,,,0.3623649762215121,0.3623649762215121,0.3684147566402606,0.0,0.3623649762215121,-0.009578723509381678,graph_lift,991,16.112,7.530753347560701,3.2726240111216547,47,test,False,,,,0
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1812042295932769,0.0263382633438804,0.022587710273018,0.0038372272481964,0.0263382633438804,0.0038372272481963896,graph_lift,991,16.112,7.530753347560701,,47,test,False,,,,0
M1,N7,E10b,T12b,categorical,1.9219913482666016,0.5805369127516778,0.7013422818791947,0.6012446880340576,0.5805369127516778,,,,0.400589038026347,0.400589038026347,0.4304779782714618,0.0,0.400589038026347,-0.05248074544053594,graph_lift,992,15.494,7.529993476345614,3.3084195641707748,47,test,False,,,,1
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1563342064619064,0.0,0.0,0.0,0.0,0.0,graph_lift,992,15.494,7.529993476345614,,47,test,False,,,,1
