Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E10b,T12b,categorical,0.8466706275939941,0.72,0.9133333333333332,0.7699037790298462,0.72,,,,0.3699014022024011,0.3699014022024011,0.3018614270941054,0.0974591259512988,0.3699014022024011,0.09745912595129894,graph_lift,1000.0,10.156,6.718703282216223,1.3717287064786692,10.0,train,False,,,,7
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0996795296669006,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.156,6.718703282216223,,10.0,train,False,,,,7
M1,N7,E10b,T12b,categorical,0.8911619186401367,0.7266666666666667,0.9266666666666666,0.7631489038467407,0.7266666666666667,,,,0.3433379876836117,0.3433379876836117,0.2832797788219167,0.083795890065689,0.3433379876836117,0.08379589006568902,graph_lift,1000.0,10.105,6.636966462862182,1.353609540269382,11.0,train,False,,,,8
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0919079035520553,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.105,6.636966462862182,,11.0,train,False,,,,8
M1,N7,E10b,T12b,categorical,0.8261174559593201,0.77,0.9333333333333332,0.7911925315856934,0.77,,,,0.3602720377862644,0.3602720377862644,0.3467768477205984,0.0206593872531536,0.3602720377862644,0.02065938725315372,graph_lift,1000.0,10.206,6.719937225865339,1.3396231503303442,12.0,train,False,,,,9
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.114360436797142,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.206,6.719937225865339,,12.0,train,False,,,,9
M1,N7,E10b,T12b,categorical,0.8315621018409729,0.74,0.9066666666666666,0.7810693383216858,0.74,,,,0.4198754787776561,0.4198754787776561,0.2896006924090766,0.1833824793697532,0.4198754787776561,0.18338247936975322,graph_lift,1000.0,10.141,6.867231464304889,1.4166152183796688,11.0,test,False,,,,0
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0224483646452426,0.4073630744586353,0.0,0.4073630744586353,0.4073630744586353,0.4073630744586353,graph_lift,1000.0,10.141,6.867231464304889,,11.0,test,False,,,,0
M1,N7,E10b,T12b,categorical,0.8286115527153015,0.76,0.92,0.7890920639038086,0.76,,,,0.4201896787198078,0.4201896787198078,0.3841281291233789,0.0585536558847858,0.4201896787198078,0.058553655884785755,graph_lift,1000.0,10.195,6.899005791907764,1.4287055268983069,11.0,test,False,,,,1
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1002277135848999,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.195,6.899005791907764,,11.0,test,False,,,,1
M1,N7,E10b,T12b,categorical,0.9140828251838684,0.7533333333333333,0.9133333333333332,0.7688316106796265,0.7533333333333333,,,,0.317617376068781,0.317617376068781,0.287476974959205,0.0423009503557451,0.317617376068781,0.04230095035574511,graph_lift,1000.0,9.886,6.825853640188784,1.4161687788396862,11.0,test,False,,,,2
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1249908804893493,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.886,6.825853640188784,,11.0,test,False,,,,2
M1,N7,E10b,T12b,categorical,0.9260150194168092,0.7633333333333333,0.9433333333333334,0.7859933376312256,0.7633333333333333,,,,0.3276688151293051,0.3276688151293051,0.341771886386042,0.0,0.3276688151293051,-0.021425811151251035,graph_lift,1000.0,9.937,6.865199522806315,1.3839685548710827,11.0,test,False,,,,3
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0771818533539772,0.1566221518663748,0.1603710865690636,0.0,0.1566221518663748,-0.004464990000605992,graph_lift,1000.0,9.937,6.865199522806315,,11.0,test,False,,,,3
M1,N7,E10b,T12b,categorical,0.963412344455719,0.7266666666666667,0.89,0.7527581453323364,0.7266666666666667,,,,0.3463452607743618,0.3463452607743618,0.2721937352533521,0.1018836043501523,0.3463452607743618,0.10188360435015231,graph_lift,1000.0,9.844,6.833899054064039,1.447480150898743,11.0,test,False,,,,4
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.1179500743746757,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.844,6.833899054064039,,11.0,test,False,,,,4
M1,N7,E10b,T12b,categorical,0.978837788105011,0.74,0.9,0.7579177618026733,0.74,,,,0.3375781467228407,0.3375781467228407,0.2796261555368046,0.0804471062233256,0.3375781467228407,0.0804471062233256,graph_lift,1000.0,10.021,6.8650212806083095,1.4109375953874534,11.0,test,False,,,,5
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0839703232049942,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.021,6.8650212806083095,,11.0,test,False,,,,5
M1,N7,E10b,T12b,categorical,0.844176709651947,0.7666666666666667,0.9366666666666666,0.789099931716919,0.7666666666666667,,,,0.3859858242297719,0.3859858242297719,0.3172913838856142,0.1006204385336894,0.3859858242297719,0.10062043853368942,graph_lift,1000.0,10.049,6.835579802901374,1.3774818745119128,11.0,test,False,,,,6
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0938543081283569,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,10.049,6.835579802901374,,11.0,test,False,,,,6
M1,N7,E10b,T12b,categorical,0.8953396677970886,0.7466666666666667,0.9166666666666666,0.7720938920974731,0.7466666666666667,,,,0.3540074079391159,0.3540074079391159,0.314192560911899,0.0580554318281492,0.3540074079391159,0.05805543182814927,graph_lift,1000.0,9.853,6.87210956269581,1.4313239183734745,11.0,test,False,,,,7
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0699169561266899,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.853,6.87210956269581,,11.0,test,False,,,,7
M1,N7,E10b,T12b,categorical,0.86562579870224,0.7533333333333333,0.9266666666666666,0.7755159735679626,0.7533333333333333,,,,0.3380539140665122,0.3380539140665122,0.218914247761878,0.1525308405168722,0.3380539140665122,0.15253084051687224,graph_lift,1000.0,9.873,6.8222712427759395,1.4068359340482244,11.0,test,False,,,,8
M5,N7,E10b,T12b,global_categorical,,,,,,,,,0.0921623781323432,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.873,6.8222712427759395,,11.0,test,False,,,,8
