Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx
M1,N7,E11a,T12b,categorical,1.357959270477295,0.61,0.81,0.6707688570022583,0.61,,,,0.4173591517760109,0.4173591517760109,0.4345119284990139,0.0,0.4173591517760109,-0.030332694158294125,graph_lift,1000.0,9.541,6.878433327200048,2.3198012076256393,18.0,test,False,,,,1
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.0867943912744522,0.2152835774084366,0.2827622006004057,0.0,0.2152835774084366,-0.09408124229991226,graph_lift,1000.0,9.541,6.878433327200048,,18.0,test,False,,,,1
M1,N7,E11a,T12b,categorical,1.463484764099121,0.59,0.7833333333333333,0.6367998123168945,0.59,,,,0.3802889759587302,0.3802889759587302,0.3691615966862919,0.0176390327760449,0.3802889759587302,0.017639032776044835,graph_lift,1000.0,9.519,6.886130191552894,2.375907371809314,18.0,test,False,,,,2
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.0921502411365509,0.0585269819318144,0.0,0.0585269819318144,0.0585269819318144,0.0585269819318144,graph_lift,1000.0,9.519,6.886130191552894,,18.0,test,False,,,,2
M1,N7,E11a,T12b,categorical,1.51547110080719,0.58,0.7466666666666667,0.6222816705703735,0.58,,,,0.3405104462542349,0.3405104462542349,0.3440046899200716,0.0,0.3405104462542349,-0.005326629035520053,graph_lift,1000.0,9.671,6.858582396381095,2.336384477949194,18.0,test,False,,,,3
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.1249529048800468,0.0388238835334501,0.0,0.0388238835334501,0.0388238835334501,0.0388238835334501,graph_lift,1000.0,9.671,6.858582396381095,,18.0,test,False,,,,3
M1,N7,E11a,T12b,categorical,1.5556669235229492,0.55,0.77,0.6141781806945801,0.55,,,,0.351366946020721,0.351366946020721,0.3820305458580202,0.0,0.351366946020721,-0.04961992802682152,graph_lift,1000.0,9.52,6.868505380018929,2.4126476269556356,18.0,test,False,,,,4
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.1154347136616706,0.1242883359212712,0.0921483743017315,0.0354022185010897,0.1242883359212712,0.0354022185010898,graph_lift,1000.0,9.52,6.868505380018929,,18.0,test,False,,,,4
M1,N7,E11a,T12b,categorical,1.3965537548065186,0.64,0.8133333333333334,0.6667392253875732,0.64,,,,0.384629500636945,0.384629500636945,0.3838913437342276,0.0011980953281704,0.384629500636945,0.0011980953281704421,graph_lift,1000.0,9.579,6.883039653188572,2.3035439206879165,18.0,test,False,,,,5
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.1018898114562034,0.2392841646900713,0.1845713754878445,0.0670969690755701,0.2392841646900713,0.06709696907557015,graph_lift,1000.0,9.579,6.883039653188572,,18.0,test,False,,,,5
M1,N7,E11a,T12b,categorical,1.410359501838684,0.62,0.7833333333333333,0.6588617563247681,0.62,,,,0.3965913263102479,0.3965913263102479,0.3766996059850991,0.0319135372224284,0.3965913263102479,0.03191353722242835,graph_lift,1000.0,9.551,6.8896720417104,2.328731242370615,18.0,test,False,,,,6
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.0709374696016311,0.4248312654748072,0.3307168301022175,0.140619754993934,0.4248312654748072,0.14061975499393406,graph_lift,1000.0,9.551,6.8896720417104,,18.0,test,False,,,,6
M1,N7,E11a,T12b,categorical,1.39813494682312,0.6166666666666667,0.8333333333333334,0.6681126952171326,0.6166666666666667,,,,0.3780728866319364,0.3780728866319364,0.3709343269523502,0.0113478766771708,0.3780728866319364,0.01134787667717085,graph_lift,1000.0,9.62,6.853939635154054,2.3471716805067393,18.0,test,False,,,,7
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.1264222860336303,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,9.62,6.853939635154054,,18.0,test,False,,,,7
M1,N7,E11a,T12b,categorical,1.303960919380188,0.6433333333333333,0.81,0.6760865449905396,0.6433333333333333,,,,0.4351254789231509,0.4351254789231509,0.4258030467761791,0.016235600162333,0.4351254789231509,0.01623560016233306,graph_lift,1000.0,9.792,6.878597052824216,2.3731727407972665,18.0,test,False,,,,8
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.0686221346259117,0.0154214497131241,0.1519799203982482,0.0,0.0154214497131241,-0.16103211936827588,graph_lift,1000.0,9.792,6.878597052824216,,18.0,test,False,,,,8
M1,N7,E11a,T12b,categorical,1.392286777496338,0.63,0.8133333333333334,0.6561354398727417,0.63,,,,0.4210971053789394,0.4210971053789394,0.4034086943781256,0.0296491263518762,0.4210971053789394,0.02964912635187631,graph_lift,1000.0,9.479,6.864568844075899,2.4133423140396397,18.0,test,False,,,,9
M5,N7,E11a,T12b,global_categorical,,,,,,,,,0.085472472012043,0.3440484451462453,0.2914633767008429,0.0742164437464794,0.3440484451462453,0.07421644374647945,graph_lift,1000.0,9.479,6.864568844075899,,18.0,test,False,,,,9
M1,N7,E11a,T12e,categorical,2.339320182800293,0.2266666666666666,0.5866666666666667,0.3638902306556701,0.2266666666666666,,,,-0.0204455171523862,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3655266638301,18.0,train,False,,,,0
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.0993155837059021,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,0
M1,N7,E11a,T12e,categorical,2.391610622406006,0.1866666666666666,0.5366666666666666,0.3462980389595032,0.1866666666666666,,,,-0.0168995596583254,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.4031174329209217,18.0,train,False,,,,1
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.094768077135086,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,1
M1,N7,E11a,T12e,categorical,2.4276680946350098,0.2333333333333333,0.5633333333333334,0.350533127784729,0.2333333333333333,,,,-0.0321923614571222,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3920726910571597,18.0,train,False,,,,2
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1507312804460525,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,2
M1,N7,E11a,T12e,categorical,2.3444297313690186,0.1766666666666666,0.5766666666666667,0.357613205909729,0.1766666666666666,,,,-0.0227405030974638,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3726144625127072,18.0,train,False,,,,3
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1057643741369247,0.0140609374893647,0.0,0.0140609374893647,0.0140609374893647,0.0140609374893647,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,3
M1,N7,E11a,T12e,categorical,2.444575309753418,0.1666666666666666,0.5166666666666667,0.3325425684452057,0.1666666666666666,,,,-0.0157993826873474,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.402910732768787,18.0,train,False,,,,4
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.0820546597242355,0.1794533538492533,0.0275802628743805,0.156180592779611,0.1794533538492533,0.15618059277961102,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,4
M1,N7,E11a,T12e,categorical,2.411971092224121,0.2066666666666666,0.57,0.345697671175003,0.2066666666666666,,,,-0.0263407951619314,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.362344106964197,18.0,train,False,,,,5
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1372918486595153,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,5
M1,N7,E11a,T12e,categorical,2.387505531311035,0.19,0.5466666666666666,0.34595587849617,0.19,,,,-0.0156729515417282,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.384797051128486,18.0,train,False,,,,6
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.11305683106184,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,6
M1,N7,E11a,T12e,categorical,2.3748912811279297,0.2233333333333333,0.56,0.3547558784484863,0.2233333333333333,,,,-0.0307363979635455,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.38816630064099,18.0,train,False,,,,7
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1280329674482345,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,7
M1,N7,E11a,T12e,categorical,2.3422091007232666,0.2266666666666666,0.5466666666666666,0.3540022373199463,0.2266666666666666,,,,-0.0201683144540059,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3342164789814053,18.0,train,False,,,,8
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.099521167576313,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,8
M1,N7,E11a,T12e,categorical,2.470379590988159,0.16,0.5133333333333333,0.3307703733444214,0.16,,,,-0.031419780981472,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3981303281711464,18.0,train,False,,,,9
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1269189566373825,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,train,False,,,,9
M1,N7,E11a,T12e,categorical,2.433081865310669,0.2033333333333333,0.5433333333333333,0.342367559671402,0.2033333333333333,,,,-0.0207391502737002,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.416162934373314,18.0,test,False,,,,0
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1118491664528846,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,0
M1,N7,E11a,T12e,categorical,2.3860716819763184,0.2266666666666666,0.5466666666666666,0.3510723114013672,0.2266666666666666,,,,-0.0237588821493872,0.0,0.0,0.0,0.0,0.0,graph_lift,1000.0,0.0,0.0,2.3198012076256393,18.0,test,False,,,,1
M5,N7,E11a,T12e,global_categorical,,,,,,,,,0.1012620255351066,0.0844803073620502,0.0279794391407809,0.0581272356742385,0.0844803073620502,0.05812723567423849,graph_lift,1000.0,0.0,0.0,,18.0,test,False,,,,1
