Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,0.8617175221443176,0.7066666666666667,0.9233333333333333,0.7582829594612122,0.7066666666666667,,,,0.37803073183242286,final_score,0.053228373280496365,,0.37803073183242286,0.34306304644694896,0.053228373280496365,0.37803073183242286,0.053228373280496365,graph_lift,5.322837328049636,1000,216.075,7.651932735819001,1.402269123919956,10,train,False,,,,21,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.10297956317663193,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,216.075,7.651932735819001,,10,train,False,,,,21,450.797
M1,N7,E10b,T12a,categorical,0.6775603890419006,0.7933333333333333,0.9366666666666666,0.8250925540924072,0.7933333333333333,,,,0.44093722962544657,final_score,0.21520896020767238,,0.44093722962544657,0.2876284997819377,0.21520896020767238,0.44093722962544657,0.21520896020767238,graph_lift,21.52089602076724,1000,221.425,7.693338850661368,1.3106210975530146,10,train,False,,,,22,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.05350813642144203,final_score,0.3579023246706918,,0.3579023246706918,0.0,0.3579023246706918,0.3579023246706918,0.3579023246706918,graph_lift,35.790232467069174,1000,221.425,7.693338850661368,,10,train,False,,,,22,450.797
M1,N7,E10b,T12a,categorical,0.8249006867408752,0.7666666666666667,0.91,0.7910314202308655,0.7666666666666667,,,,0.38605602649563164,final_score,0.10610405481168667,,0.38605602649563164,0.3131818341842558,0.10610405481168667,0.38605602649563164,0.10610405481168667,graph_lift,10.610405481168666,1000,209.353,7.616197148592109,1.3795257583289953,10,train,False,,,,23,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09489366412162781,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,209.353,7.616197148592109,,10,train,False,,,,23,450.797
M1,N7,E10b,T12a,categorical,0.7115605473518372,0.7933333333333333,0.9233333333333333,0.8247877955436707,0.7933333333333333,,,,0.46173043170990413,final_score,0.04812322792698952,,0.46173043170990413,0.4345175929465692,0.04812322792698952,0.46173043170990413,0.04812322792698952,graph_lift,4.812322792698952,1000,217.428,7.648528798457181,1.3355752131343803,11,train,False,,,,24,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.09162838757038116,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,217.428,7.648528798457181,,11,train,False,,,,24,450.797
M1,N7,E10b,T12a,categorical,0.9004480838775635,0.7333333333333333,0.9033333333333333,0.7721051573753357,0.7333333333333333,,,,0.3252131367688713,final_score,0.05653430226237402,,0.3252131367688713,0.28477859359462987,0.05653430226237402,0.3252131367688713,0.05653430226237402,graph_lift,5.653430226237402,1000,223.005,7.650389076710997,1.3251055557932958,10,train,False,,,,25,450.797
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08619536459445953,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,223.005,7.650389076710997,,10,train,False,,,,25,450.797
