Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07730644941329956,final_score,0.01471447894244455,,0.22458572165218108,0.21300550776841964,0.01471447894244455,0.22458572165218108,0.01471447894244455,graph_lift,1.471447894244455,1000,130.144,7.2621837219121765,,18,train,False,,,,23,345.536
M1,N7,E10b,T12a,categorical,1.0548052787780762,0.68,0.87,0.7353351712226868,0.68,,,,0.5513100258115047,final_score,0.0,,0.5513100258115047,0.5582060896111398,0.0,0.5513100258115047,-0.015609232353531842,graph_lift,0.0,1000,131.943,7.258572799491613,2.361718412696604,18,train,False,,,,24,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.07318384200334549,final_score,0.07112797605763477,,0.07112797605763477,0.0,0.07112797605763477,0.07112797605763477,0.07112797605763477,graph_lift,7.112797605763477,1000,131.943,7.258572799491613,,18,train,False,,,,24,345.536
M1,N7,E10b,T12a,categorical,1.0371530055999756,0.72,0.8966666666666666,0.7528247237205505,0.72,,,,0.5459042241707819,final_score,0.0,,0.5459042241707819,0.5706450158369215,0.0,0.5459042241707819,-0.05762316166974442,graph_lift,0.0,1000,129.387,7.2556689478143195,2.3334179347988817,18,train,False,,,,25,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08344246447086334,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,1000,129.387,7.2556689478143195,,18,train,False,,,,25,345.536
M1,N7,E10b,T12a,categorical,0.9885140061378479,0.7166666666666667,0.8933333333333333,0.7483775019645691,0.7166666666666667,,,,0.5798363757382545,final_score,0.0,,0.5798363757382545,0.5991263093620484,0.0,0.5798363757382545,-0.048119729666209254,graph_lift,0.0,1000,130.766,7.247077502194848,2.422456663832859,18,train,False,,,,26,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08734731376171112,final_score,0.028235771953382748,,0.19931640187472477,0.176051582249779,0.028235771953382748,0.19931640187472477,0.028235771953382748,graph_lift,2.8235771953382747,1000,130.766,7.247077502194848,,18,train,False,,,,26,345.536
M1,N7,E10b,T12a,categorical,1.0212857723236084,0.73,0.8866666666666667,0.757876992225647,0.73,,,,0.5680462451103401,final_score,0.0,,0.5680462451103401,0.5773351683693441,0.0,0.5680462451103401,-0.021977043188492862,graph_lift,0.0,1000,129.821,7.263774409021592,2.367582702245045,18,train,False,,,,27,345.536
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.08929335325956345,final_score,0.0,,0.39740691038045356,0.5178542715109085,0.0,0.39740691038045356,-0.2498152612653085,graph_lift,0.0,1000,129.821,7.263774409021592,,18,train,False,,,,27,345.536
M1,N7,E10b,T12a,categorical,1.0938209295272827,0.7033333333333334,0.8633333333333333,0.7373772263526917,0.7033333333333334,,,,0.5347274537230511,final_score,0.029324295705417412,,0.5347274537230511,0.5206714825369245,0.029324295705417412,0.5347274537230511,0.029324295705417412,graph_lift,2.9324295705417414,1000,129.307,7.2708737151364,2.376146303389413,18,train,False,,,,28,345.536
