Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.9816057682037354,0.5351170568561873,0.705685618729097,0.5789449214935303,0.5351170568561873,,,,0.372085321428844,final_score,0.0,,0.372085321428844,0.4429473132427827,0.0,0.372085321428844,-0.12720877844867626,graph_lift,0.0,994,74.068,7.277833203039908,3.2084541655803873,47,train,False,,,,15,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.15974299609661102,final_score,0.0,,0.0,0.013159330112424136,0.0,0.0,-0.013334807242919255,graph_lift,0.0,994,74.068,7.277833203039908,,47,train,False,,,,15,386.703
M1,N7,E10b,T12a,categorical,1.729373812675476,0.6026936026936027,0.7575757575757576,0.6462252736091614,0.6026936026936027,,,,0.44615479388602175,final_score,0.0,,0.44615479388602175,0.47725423034077685,0.0,0.44615479388602175,-0.0594924689204635,graph_lift,0.0,988,70.003,7.290232696506257,3.204264302447317,47,train,False,,,,16,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.13165763020515442,final_score,0.0,,0.07001383601922623,0.19830383771912513,0.0,0.07001383601922623,-0.16002322043666262,graph_lift,0.0,988,70.003,7.290232696506257,,47,train,False,,,,16,386.703
M1,N7,E10b,T12a,categorical,1.8297299146652222,0.5719063545150501,0.7324414715719063,0.6033848524093628,0.5719063545150501,,,,0.4206658570367675,final_score,0.0,,0.4206658570367675,0.4425543672509661,0.0,0.4206658570367675,-0.039265730913086085,graph_lift,0.0,994,71.694,7.284695760161748,3.2208256704956977,47,train,False,,,,17,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17736664414405823,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,994,71.694,7.284695760161748,,47,train,False,,,,17,386.703
M1,N7,E10b,T12a,categorical,2.0990993976593018,0.5484949832775919,0.6688963210702341,0.5838231444358826,0.5484949832775919,,,,0.3469172105264495,final_score,0.0,,0.3469172105264495,0.399185226490396,0.0,0.3469172105264495,-0.08699522426625379,graph_lift,0.0,995,67.332,7.30052945250509,3.2393147301183753,47,train,False,,,,18,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14238595962524414,final_score,0.0,,0.1090768640500651,0.12498681847064423,0.0,0.1090768640500651,-0.018182531139441318,graph_lift,0.0,995,67.332,7.30052945250509,,47,train,False,,,,18,386.703
M1,N7,E10b,T12a,categorical,2.0109057426452637,0.4798657718120805,0.7181208053691275,0.5501006245613098,0.4798657718120805,,,,0.3733831515114072,final_score,0.0,,0.3733831515114072,0.4416783185362886,0.0,0.3733831515114072,-0.12232225487972612,graph_lift,0.0,992,66.115,7.3090719560105,3.2665922843004753,47,train,False,,,,19,386.703
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.17583830654621124,final_score,0.0,,0.18485183515787038,0.23891691750812968,0.0,0.18485183515787038,-0.07103703077099578,graph_lift,0.0,992,66.115,7.3090719560105,,47,train,False,,,,19,386.703
