Task_Idx,Node_Idx,Edge_Idx,Text_Idx,task_type,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,S_GNN_step1,S_MLP_step1,Final_Score,raw_gnn_score,unclamped_score,scoring_formula,normalized_score,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,output_dimension,run_split,degenerate,nan_reason,Predicted_Value,True_Value,sample_idx,wall_time_seconds
M1,N7,E10b,T12a,categorical,1.7733306884765625,0.4913494809688581,0.7508650519031141,0.5523484349250793,0.4913494809688581,,,,0.058993096328419425,final_score,0.0,,0.058993096328419425,0.08658800248075837,0.0,0.058993096328419425,-0.030210798880773014,graph_lift,0.0,962,70.071,7.134373187231715,1.9980515634600258,16,train,False,,,,20,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.20934148132801056,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,962,70.071,7.134373187231715,,16,train,False,,,,20,384.063
M1,N7,E10b,T12a,categorical,1.6787197589874268,0.547945205479452,0.8013698630136986,0.5797207951545715,0.547945205479452,,,,0.08446222197294773,final_score,0.0,,0.08446222197294773,0.13568408696503687,0.0,0.08446222197294773,-0.05926289707223882,graph_lift,0.0,972,73.341,7.147041942555003,1.9299560895466739,16,train,False,,,,21,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.22268813848495483,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,972,73.341,7.147041942555003,,16,train,False,,,,21,384.063
M1,N7,E10b,T12a,categorical,1.8100451231002808,0.5155709342560554,0.7474048442906575,0.558620035648346,0.5155709342560554,,,,0.03337223670634748,final_score,0.0,,0.03337223670634748,0.19702501981635867,0.0,0.03337223670634748,-0.20380807266570572,graph_lift,0.0,963,72.633,7.124362329909278,1.939579859182464,16,train,False,,,,22,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.16452404856681824,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,963,72.633,7.124362329909278,,16,train,False,,,,22,384.063
M1,N7,E10b,T12a,categorical,1.6500324010849,0.523972602739726,0.8047945205479452,0.5812984108924866,0.523972602739726,,,,0.15337692949703685,final_score,0.0,,0.15337692949703685,0.1669157712593503,0.0,0.15337692949703685,-0.016251468093183986,graph_lift,0.0,971,78.331,7.14844218391308,1.967305630963591,16,train,False,,,,23,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18650338053703308,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,971,78.331,7.14844218391308,,16,train,False,,,,23,384.063
M1,N7,E10b,T12a,categorical,1.7666339874267578,0.5068493150684932,0.815068493150685,0.5620419383049011,0.5068493150684932,,,,0.036778219283711944,final_score,0.0,,0.036778219283711944,0.10073868478641668,0.0,0.036778219283711944,-0.0711255609694647,graph_lift,0.0,971,71.75,7.161936400307811,1.9068271064986577,16,train,False,,,,24,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14310388267040253,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,971,71.75,7.161936400307811,,16,train,False,,,,24,384.063
M1,N7,E10b,T12a,categorical,1.7803257703781128,0.5238095238095238,0.7891156462585034,0.5616241693496704,0.5238095238095238,,,,0.10285593649261948,final_score,0.04205568014412656,,0.10285593649261948,0.063469509749419,0.04205568014412656,0.10285593649261948,0.04205568014412656,graph_lift,4.205568014412656,980,71.027,7.160213610301667,1.9733203604128513,16,train,False,,,,25,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.16587387025356293,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,980,71.027,7.160213610301667,,16,train,False,,,,25,384.063
M1,N7,E10b,T12a,categorical,1.763914942741394,0.5220338983050847,0.7966101694915254,0.56174236536026,0.5220338983050847,,,,0.09683936496609713,final_score,0.0,,0.09683936496609713,0.1425574032519522,0.0,0.09683936496609713,-0.05331906585845645,graph_lift,0.0,982,73.374,7.127237279082087,1.9435523818021017,16,train,False,,,,26,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.14647769927978516,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,982,73.374,7.127237279082087,,16,train,False,,,,26,384.063
M1,N7,E10b,T12a,categorical,1.6300299167633057,0.5694444444444444,0.8298611111111112,0.5932125449180603,0.5694444444444444,,,,0.1744250398648759,final_score,0.0,,0.1744250398648759,0.184005705163929,0.0,0.1744250398648759,-0.011741093485191352,graph_lift,0.0,958,69.986,7.161223855630064,1.952851719580488,16,train,False,,,,27,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.18699949979782104,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,958,69.986,7.161223855630064,,16,train,False,,,,27,384.063
M1,N7,E10b,T12a,categorical,1.827750563621521,0.48109965635738833,0.7972508591065293,0.5253686308860779,0.48109965635738833,,,,0.08656113116459418,final_score,0.0,,0.08656113116459418,0.13546667080361474,0.0,0.08656113116459418,-0.056568715152347,graph_lift,0.0,969,73.734,7.1302511749198665,1.9737018293759603,16,train,False,,,,28,384.063
M5,N7,E10b,T12a,global_categorical,,,,,,,,,0.21086877584457397,final_score,0.0,,0.0,0.0,0.0,0.0,0.0,graph_lift,0.0,969,73.734,7.1302511749198665,,16,train,False,,,,28,384.063
