Task_Idx,Node_Idx,Edge_Idx,Text_Idx,KL,Top1,Top3,Cosine,Accuracy,F1,MAE,MSE,R2,Primary_Metric,Primary_Value,Performance_Band,number_of_nodes,avg_text_length,text_vocab_entropy,label_balance_entropy,task_type,output_dimension,normalized_score
1,8,11,e,0.31010866165161133,0.927289896128423,0.9641170915958451,0.9359581470489502,,,,,,accuracy,0.927289896128423,Great 9/10,3527,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.927289896128423
1,8,11,e,0.2774079740047455,0.9348441926345609,0.9669499527856469,0.9408733248710632,,,,,,accuracy,0.9348441926345609,Great 9/10,3527,901.211,10.46411116912159,3.439598410821357,node_categorical,18,0.9348441926345609
2,7,10,a,,,,,,,0.026630064472556114,0.0128328213468194,-0.058493852615356445,r2,-0.058493852615356445,Weak 3/10,1000,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-0.058493852615356445
2,7,10,e,,,,,,,0.026630064472556114,0.0128328213468194,-0.058493852615356445,r2,-0.058493852615356445,Weak 3/10,1000,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-0.058493852615356445
2,7,11,a,,,,,,,0.06559721380472183,0.022037986665964127,-0.24262738227844238,r2,-0.24262738227844238,Weak 3/10,1000,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-0.24262738227844238
2,7,11,a,,,,,,,0.0003333333588670939,1.111110989882036e-07,-33333320.0,r2,-33333320.0,Worst 1/10,1000,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-33333320.0
2,7,11,e,,,,,,,0.06559721380472183,0.022037986665964127,-0.24262738227844238,r2,-0.24262738227844238,Weak 3/10,1000,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-0.24262738227844238
2,7,11,e,,,,,,,0.0003333333588670939,1.111110989882036e-07,-33333320.0,r2,-33333320.0,Worst 1/10,1000,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-33333320.0
2,8,10,a,,,,,,,0.4086720645427704,0.20255056023597717,-4.699597358703613,r2,-4.699597358703613,Worst 1/10,3527,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-4.699597358703613
2,8,10,e,,,,,,,0.4086720645427704,0.20255056023597717,-4.699597358703613,r2,-4.699597358703613,Worst 1/10,3527,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-4.699597358703613
2,8,11,a,,,,,,,0.31379401683807373,0.11939915269613266,-4.704019546508789,r2,-4.704019546508789,Worst 1/10,3527,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-4.704019546508789
2,8,11,a,,,,,,,0.3044559955596924,0.11882347613573074,-3.547395706176758,r2,-3.547395706176758,Worst 1/10,3527,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-3.547395706176758
2,8,11,e,,,,,,,0.31379401683807373,0.11939915269613266,-4.704019546508789,r2,-4.704019546508789,Worst 1/10,3527,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-4.704019546508789
2,8,11,e,,,,,,,0.3044559955596924,0.11882347613573074,-3.547395706176758,r2,-3.547395706176758,Worst 1/10,3527,901.211,10.46411116912159,3.439598410821357,node_scalar,1,-3.547395706176758
3,7,10,a,,,,,0.9090909090909091,0.6666666666666666,,,,accuracy,0.9090909090909091,Great 9/10,1000,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.9090909090909091
3,7,10,e,,,,,0.9090909090909091,0.6666666666666666,,,,accuracy,0.9090909090909091,Great 9/10,1000,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.9090909090909091
3,7,11,a,,,,,0.8348623853211009,0.25,,,,accuracy,0.8348623853211009,Good 7/10,1000,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.8348623853211009
3,7,11,a,,,,,,,,,,accuracy,,N/A,1000,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,
3,7,11,e,,,,,0.8440366972477065,0.37037037037037035,,,,accuracy,0.8440366972477065,Good 7/10,1000,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.8440366972477065
3,7,11,e,,,,,,,,,,accuracy,,N/A,1000,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,
3,8,10,a,,,,,0.9891977341588724,0.0,,,,accuracy,0.9891977341588724,Excellent 10/10,3527,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.9891977341588724
3,8,10,e,,,,,0.9891977341588724,0.0,,,,accuracy,0.9891977341588724,Excellent 10/10,3527,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.9891977341588724
3,8,11,a,,,,,0.9809084924292297,0.7418397626112759,,,,accuracy,0.9809084924292297,Excellent 10/10,3527,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.9809084924292297
3,8,11,a,,,,,1.0,0.0,,,,accuracy,1.0,Excellent 10/10,3527,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,1.0
3,8,11,e,,,,,0.9679613780996269,0.0,,,,accuracy,0.9679613780996269,Excellent 10/10,3527,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,0.9679613780996269
3,8,11,e,,,,,1.0,0.0,,,,accuracy,1.0,Excellent 10/10,3527,901.211,10.46411116912159,3.439598410821357,edge_categorical,2,1.0
